Month,Cases received / Number / All cases,Cases received / Number / Unfair labor practice cases,Cases received / Number / Representation cases,Cases received / Percent of total / Unfair labor practice cases,Cases received / Percent of total / Representation cases,Cases received / Workers involved / Unfair labor practice cases,Cases received / Workers involved / Representation cases
Total,9737,2427,7310,24.9,75.1,3161301,1488967
July,670,184,486,27.5,72.5,332595,120126
August,845,220,625,26.0,74.0,225420,111803
September,717,182,535,25.4,74.6,313618,112998
October,858,186,672,21.7,78.3,124941,123140
November,704,198,506,28.1,71.9,249792,128284
December,601,148,453,24.6,75.4,136439,102221
January,778,182,596,23.4,76.6,84542,94642
February,831,225,602,27.6,72.4,532430,156949
March,1002,225,777,22.5,77.5,277533,152055
April,967,204,763,21.1,78.9,148260,140028
May,927,232,695,25.0,75.0,304322,134505
June,837,237,600,28.3,71.7,326950,112916
