row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections…………………...,3743,118,3.2,40,1.1,34,0.9,152,4.1,74,2.0
By type of cases:,,,,,,,,,,,
InRCcases……………………………..,3264,103,3.2,36,1.1,30,0.9,133,4.1,66,2.0
InRMcases…………………………….,45,0,0.0,1,2.2,0,0.0,0,0.0,1,2.2
InRDcases…………………………….,434,15,3.5,3,0.7,4,0.9,19,4.4,7,1.6
By type of election:,,,,,,,,,,,
Consent elections……………………….,17,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated elections……………………..,3136,101,3.2,28,0.9,27,0.9,128,4.1,55,1.8
Expedited elections……………………..,0,0,0.0,0,0.0,0,0.0,0,0.0,0,.0.0
Regional Director-directed elections……,583,16,2.7,6,1.0,6,1.0,22,3.8,12,2.1
Board-directed elections………………..,7,1,14.3,6,85.7,1,14.3,2,28.6,7,100.0
