row_label,col_1,col_2
Total number of cases closed before issuance of complaint,428,100.0
Agreement of the parties-informal settlement,173,404
Before 10(k) notice,152,35.1
"After 10(k) notice, before opening of 10(k) hearing",18,4.2
"After opening of 10(k) hearing, before issuance of Board decision and determina- tion of dispute",3,0.7
Compliance with Board decision and determination of dispute,25,5.8
Withdrawal,168,393
Before 10(k) notice,145,330
"After 10(k) notice, before opening of 10(k) hearing",10,24
"After opening of 10(k) hearing, before issuance of Board decision and determina- tion of dispute",0,
After Board decision and determination of dispute,13,30
Dismissal,62,14.5
Before 10(k) notice,49,11.4
"After 10(k) notice, before opening of 10(k) hearing",3,07
"After opening of 10(k) hearing, before issuance of Board decision and determina- tion of dispute",2,0.5
By Board decision and determination of dispute,8,1.9
