row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
Illinois......................................................................,2135,1751,1158,434,90,44,4,0,21,372,297,22,53,9,0,3
Indiana....................................................................,774,682,524,144,7,4,1,0,2,90,62,4,24,1,0,1
Michigan..................................................................,2009,1710,1195,493,12,2,5,0,3,275,213,9,53,15,2,7
Ohio........................................................................,1876,1645,1252,362,17,3,2,1,8,206,156,8,42,5,5,15
Wisconsin................................................................,650,563,413,136,8,3,1,1,1,83,62,0,21,1,0,3
East North Central..............................................,7444,6351,4542,1569,134,56,13,2,35,1026,790,43,193,31,7,29
Alabama..................................................................,472,420,364,55,1,0,0,0,0,52,45,1,6,0,0,0
Kentucky..................................................................,553,462,368,73,10,8,1,1,1,90,72,2,16,1,0,0
Mississippi..............................................................,141,120,93,27,0,0,0,0,0,20,14,0,6,0,0,1
Tennessee................................................................,499,463,364,99,0,0,0,0,0,35,25,0,10,0,0,1
East South Central..............................................,1665,1465,1189,254,11,8,1,1,1,197,156,3,38,1,0,2
New Jersey..............................................................,1377,1136,827,251,35,18,2,0,3,225,189,5,31,9,1,6
New York................................................................,3670,3167,2115,904,76,35,7,7,23,478,415,12,51,6,0,19
Pennsylvania............................................................,1877,1571,1258,260,25,21,0,4,3,282,222,5,55,10,1,13
Middle Atlantic..................................................,6924,5874,4200,1415,136,74,9,11,29,985,826,22,137,25,2,38
Arizona....................................................................,405,"3,73",324,42,6,0,0,0,1,31,23,3,5,0,0,1
Colorado..................................................................,468,417,350,65,1,0,0,0,1,50,39,1,10,0,0,1
Idaho........................................................................,79,58,50,8,0,0,0,0,0,20,20,0,0,0,0,1
Montana..................................................................,99,77,66,11,0,0,0,0,0,22,13,1,8,0,0,0
New Mexico............................................................,186,155,135,20,0,0,0,0,0,30,26,0,4,1,0,0
Nevada....................................................................,666,589,438,144,1,3,1,1,1,71,60,2,9,1,0,5
Utah........................................................................,93,76,67,9,0,0,0,0,0,16,14,0,2,0,0,1
Wyoming................................................................,28,23,19,4,0,0,0,0,0,5,4,0,1,0,0,0
Mountain............................................................,2024,1768,1449,303,8,3,1,1,3,245,199,7,39,2,0,9
Connecticut..............................................................,534,462,388,68,4,1,0,0,1,68,60,2,6,2,0,2
Massachusetts..........................................................,923,817,633,158,21,4,1,0,0,94,74,2,18,5,0,7
Maine......................................................................,115,105,86,18,0,1,0,0,0,9,5,2,2,0,0,1
New Hampshire…...................................................,93,79,57,12,5,5,0,0,0,11,10,0,1,1,0,2
Rhode,153,126,110,,1,0,0,0,0,,,0,5,0,0,3
Island….........................................................,,,,15,,,,,,24,19,,,,,
Vermont…...............................................................,57,47,44,3,0,0,0,0,0,9,7,0,2,0,0,1
New England…..................................................,1875,1636,1318,274,31,11,1,0,1,215,175,6,34,8,0,16
