row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Illinois......................................................,26,7,5,2,0,19,1492,1167,509,489,19,1,658,784
Indiana......................................................,17,6,6,0,0,11,1057,837,367,323,0,44,470,452
Michigan..................................................,29,6,6,0,0,23,1686,1465,748,710,38,0,717,988
Ohio..........................................................,23,10,10,0,0,13,1470,1345,684,684,0,0,661,908
Wisconsin..................................................,17,7,7,0,0,10,462,392,152,152,0,0,240,199
East North Central................................,112,36,34,2,0,76,6167,5206,2460,2358,57,45,2746,3331
Alabama....................................................,5,2,2,0,0,3,83,81,18,18,0,0,63,27
Kentucky..................................................,9,4,3,1,0,5,428,375,149,149,0,0,226,145
Mississippi................................................,4,2,2,0,0,2,162,142,72,72,0,0,70,120
Tennessee..................................................,7,2,2,0,0,5,938,831,379,368,11,0,452,371
East South Central................................,25,10,9,1,0,15,1611,1429,618,607,11,0,811,663
New Jersey................................................,14,6,6,0,0,8,1191,1007,629,628,1,0,378,745
New York..................................................,15,5,4,1,0,10,804,694,388,345,43,0,306,611
Pennsylvania............................................,20,8,6,1,1,12,1166,1064,511,488,0,23,553,358
Middle Atlantic....................................,49,19,16,2,1,30,3161,2765,1528,1461,44,23,1237,1714
Arizona......................................................,2,2,1,1,0,0,154,128,57,57,0,0,71,154
Colorado....................................................,6,4,4,0,0,2,413,349,248,248,0,0,101,383
Idaho..........................................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Montana....................................................,5,4,4,0,0,1,106,99,66,66,0,0,33,95
Nevada......................................................,3,0,0,0,0,3,65,65,17,17,0,0,48,0
New Mexico..............................................,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Utah..........................................................,1,0,0,0,0,1,214,202,65,65,0,0,137,0
Wyoming..................................................,1,0,0,0,0,1,11,11,0,0,0,0,11,0
Mountain..............................................,18,10,9,1,0,8,963,854,453,453,0,0,401,632
Connecticut..............................................,5,1,1,0,0,4,222,204,73,73,0,0,131,38
Maine........................................................,1,0,0,0,0,1,35,32,8,8,0,0,24,0
