row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO v. Local....................................,1268,832,406,,426,27,193,100,,93,216
National v. National................................,625,477,,477,,37,33,,33,,78
AFL-CIO v. AFL-CIO............................,6596,4194,4194,,,323,860,860,,,1219
2-union elections..................................,10351,7277,4811,1003,1463,453,1108,960,44,104,1513
AFL-CIO v. AFL-CIO v. AFL-CIO........,310,310,310,0,0,0,0,,,,
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO..................................................,108,107,107,0,0,1,0,,,,
AFL-CIO v. AFL-CIO v. Local..............,1267,1233,730,0,503,34,0,,,,
AFL-CIO v. AFL-CIO v. National..........,111,110,54,56,0,1,0,,,,
3 (or more)-union elections..................,1796,1760,1201,56,503,36,0,0,0,0,0
Total RC elections................................,147403,46573,39271,3163,4139,16377,27752,25908,653,1191,56701
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO..................................................,821,219,219,,,112,140,140,,,350
Other local unions....................................,6,0,,,,,0,0,0,0,6
1-union elections..................................,827,219,219,0,0,112,140,140,0,0,356
National v. National................................,92,92,0,92,0,0,0,,,,
AFL-CIO v. AFL-CIO............................,234,209,209,0,0,25,0,,,,
Local v. Local..........................................,476,470,0,0,470,6,0,,,,
2-union elections..................................,802,771,209,92,470,31,0,0,0,0,0
Total RMelections..............................,1629,990,428,92,470,143,140,140,0,0,356
