row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Pending October 1, 2006....................",*868,309,484,73,2,
Received fiscal 2007..........................,2302,990,1153,156,3,
On docket fiscal 2007........................,3170,1299,1637,229,5,
Closed fiscal 2007..............................,2560,1046,1331,179,4,
"Pending September 30, 2007..............",610,253,306,50,1,
,RMCases,RMCases,RMCases,RMCases,RMCases,RMCases
"Pending October 1, 2006....................",42,,,,,42
Received fiscal 2007..........................,92,,,,,92
On docket fiscal 2007........................,134,,,,,134
Closed fiscal 2007..............................,87,,,,,87
"Pending September 30, 2007..............",47,,,,,47
,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases,RD Cases
"Pending October 1, 2006....................",247,1,0,0,246,
Received fiscal 2007..........................,662,1,3,2,656,
On docket fiscal 2007........................,909,2,3,2,902,
Closed fiscal 2007..............................,685,1,2,1,681,
"Pending September 30, 2007..............",224,1,1,1,221,
