row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4 533,289,6 4,121,2 7,48,11,337,7 4,169,3 7
By type of case,,,,,,,,,,,
In RC cases,3353,258,7 7,100,3 0,25,0 7,283,8 4,125,3 7
In NMcases,246,1,0 4,20,8 1,15,6 1,16,6 5,35,14 2
In RD cases,934,30,32,1,01,8,09,38,41,9,10
By type of election,,,,,,,,,,,
Consent elections,175,0,,21,12 0,3,1 7,3,1 7,24,13 7
Stipulated elections,3531,207,5 9,100,2 8,39,11,246,7 0,139,3 9
Expedited elections,25,0,,0,,0,,0,,0,
Regional director-directed elections,763,76,10 0,0,,3,0 4,79,10 4,3,0 4
Board-directed elections,39,6,15 4,0,,3,7 7,9,23 1,3,7 7
