Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
17-CC-66,"*Teamsters, Local 696 and Manhattan Trades and Labor Assembly (Walters Sand Co., Inc.)","July 24, 1957",10 (l),,,,,"Nov. 21, 1957","Oct. 18, 1957"
10-CC-316,"*Teamsters, Local 515 (Baggett Transportation Co.)","July 24, 1957",10 (l),,,"Aug. 6, 1957",,,"Apr. 14, 1958"
33-CC-16,"*Teamsters, Local 65 (Atlantic United Mine Workers Metal Trades Council et al (Associated General Contractors of America, New Mexico Bldg Branch))","July 26, 1957",10 (l),,,,,,
36-CC-50,"Woodworkers, Local 6-221 (Medford Corp.)","July 26, 1957",10 (l),,,,,"Jan. 27, 1958",Settled.
16-CC-94,"*Teamsters, Local 886 (Ryan Freight Lines)","July 30, 1957",10 (l),,,,,"Jan. 15, 1958",(R. complies)
1-CC-180,Springfield Building & Construction Trades Council et al. (Leo Spear Construction Co.),"July 30, 1957",10 (l),,,,,"Aug. 24, 1957","May 29, 1958"
20-CC-147,"*Teamsters, Local 179 (Alexander Warehouse & Sales)","July 30, 1957",10 (l),,,"Aug. 7, 1957",,,"Apr. 26, 1958"
"10-CC-317, 18, 19; 10-CD-88, 89; 10-CC-19, 18","Sheet Metal Workers, Local 48 and Agent Y. R. Reul (Acoust Engineering of Alabama)","Aug. 1, 1957",10 (l),"Aug. 1, 1957","Aug. 4, 1957",,,,"Sept. 9, 1957"
1-CC-177,Boston Building & Construction Trades Council et al. (J. J. Reddington Electric Service),"Aug. 1, 1957",10 (l),"Aug. 1, 1957",,,,"May 15, 1958","Feb. 26, 1958"
22-CC-18,"*Teamsters, Local 984 and 667 (Hemoka Co., Inc.)","Aug. 5, 1957",10 (l),,,,,"Sept. 4, 1957",
"21-CC-268, CD-25","Lathers, Local 252 (James I Barnes Construction Co.)","Aug. 8, 1957",10 (l),,,,,"Sept. 24, 1957",
2-CC-437,*Teamsters Locals 707 and 1205 (Atlantic Paper Box Manufacturing Corp.),"Aug. 14, 1957",10 (l),,,,,,
19-CC-101,"Plumbers, Local 343 (Hagerty-Mascoupli)","Aug. 14, 1957",10 (l),,,,,,"Nov. 6, 1957"
15-CC-90,"Garment Workers, Ladies (Lillian Russell, Inc.)","Aug. 14, 1957",10 (l),,,,,"Aug. 22, 1957","Nov. 14, 1957"
22-CC-30,Electrical Workers and Local 166 (General Dynamics Corp.),"Aug. 16, 1957",10 (l),,,,,"Aug. 22, 1957",Withdrawn.
24-CC-50,"Longshoremen, District Council of Puerto Rico (Valencia Service Co.)","Aug. 22, 1957",10 (l),,,,,"Dec. 27, 1957","Nov. 26, 1957"
