Participating unions,Total elections,Percent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Other national unions,Elections won by unions / Other local unions,Employees eligible to vote / Total,Employees eligible to vote / In elections won by unions,Employees eligible to vote / In units won by — AFL-CIO unions,Employees eligible to vote / In units won by — Other national unions,Employees eligible to vote / In units won by — Other local unions,In elections where no representative chosen
A. All representation elections,,,,,,,,,,,,
AFL-CIO,3066,46.3,1420,1420,,,195733,79136,79136,,,117597
Other national unions,90,64.4,58,,58,,9188,5959,,5959,,3229
Other local unions,220,53.2,117,,,117,13054,5686,,,5686,7368
1-union elections,3376,47.2,1595,1420,58,117,1781,218975,90781,79136,5959,
2-union elections,101,78.2,79,46,8,25,2,16725,10549,5404,807,4338
3 (or more)-union elections,3,100.0,3,,,,,316,316,,,0
Total representation elections,3480,48.2,1677,1469,66,111,,236016,101646,84856,6766,134370
B. Elections in RC cases,,,,,,,,,,,,
AFL-CIO (RC),2656,48.6,1290,1290,,,1266,179386,70610,70610,,108379
Other national unions (RC),81,66.7,54,,54,,32,8201,5319,,5319,2882
Other local unions (RC),196,56.6,111,,,111,112,11795,5675,,,6173
1-union elections (RC),2933,49.6,1455,1290,54,111,1478,199382,81648,70610,5319,
"AFL-CIO v. AFL-CIO (RC, 2-union sub)",32,65.6,21,21,,,,5807,2523,2523,,3304
