Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
17-CC-57,"*Teamsters, Building Materials and Construction, Ice and Coal Drivers, Local 469 (Associated General Contractors, Employers Association of Cincinnati and Wilson Construction Co.)","Mar 12, 1957",10 (l),,,,,"Sept. 4, 1957","July 5, 1957"
24-CC-257,"Clothing Workers, Los Angeles Joint Board (Boscoe Shirt Co.)","Mar 13, 1957",10 (l),,,,,"Apr. 11, 1958","July 5, 1957"
14-CC-101,"Machinists, District 9 (Concrete Transport Mixer)","Mar 25, 1957",10 (l),,,,,"Jan. 29, 1958",Settled.
5-CC-95,"Barbers, Journeymen Barbers, Hairdressers, Cosmetologists & Proprietors (Chicago & Illinois Hairdressers)","Mar 27, 1957",10 (l),,,"July 10, 1957",,,Settled.
"5-CC-25, 5-CC-74","Plumbers, Local 5 (Construction Contractors Council)","Mar 28, 1957",10 (l),,,,,"Nov. 20, 1957",Dismissed.
13-CC-187,"Engineers, Operating, Engineers Local 222, and Iron Workers, Local 184 (Harry P. Campbell Sons Corp.)","Apr. 1, 1957",10 (l),,,,,"Nov. 18, 1957","May 21, 1957"
13-CC-181,"*Teamsters, General Chauffeurs, Sales Drivers & Helpers Union, Local 423 (Joe Doaks Foods of Aurora)","Apr. 11, 1957",10 (l),,,,,"Sept. 19, 1957","Sept. 4, 1957"
5-CC-66,"Bricklayers, Local 18 (Building Trades Employers Division of The Builders Exchange)","Apr. 15, 1957",10 (l),,,,,"Sept. 24, 1957",Withdrawn.
21-CC-228,"*Teamsters, New Furniture and Appliance Drivers Warehousemen and Helpers, Local Union 196 (Holmes Furniture Manufacturing Co.)","Apr. 18, 1957",10 (l),,,"Aug. 8, 1957",,,"June 30, 1958"
2-CD-128 (amended to include CD-19),"Lathers, Local 46 (Jacobson & Co., Inc.)","Apr. 25, 1957",10 (l),,,"May 1, 1957",,,"Feb. 19, 1958"
24-CC-49,"Longshoremen, Local 1901 (Puerto Rico Steamship Co.)","May 4, 1957",10 (l),,,"May 8, 1957",,,"Apr. 6, 1958"
14-CC-95,"Bricklayers, Local 15 (Clark Construction Co.)","May 7, 1957",10 (l),,,,,"Oct. 11, 1957",Settled.
7-CC-58,"Congress of Industrial Organizations, Jackson City Council (Bank Co.)","May 15, 1957",10 (l),,,,,"Sept. 24, 1957",
