row_label,Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Other National Unions,Identification of filing party / Other local Unions,Identification of filing party / Individuals,Identification of filing party / Employers
All Cases,,,,,,
"Pending October 1, 2004",18318,11183,513,572,5295,755
Received fiscal 2005,29858,16093,907,904,10638,1316
On docket fiscal 2005,48176,27276,1420,1476,15933,2071
Closed fiscal 2005,32002,17584,893,856,11300,1369
"Pending September 30, 2005",16174,9692,527,620,4633,702
Unfair labor practice cases,,,,,,
"Pending October 1, 2004",16793,10186,478,506,4960,663
Received fiscal 2005,24720,12370,750,648,9763,1189
On docket fiscal 2005,41513,22556,1228,1154,14723,1852
Closed fiscal 2005,26955,13934,750,626,10409,1236
"Pending September 30, 2005",14558,8622,478,528,4314,616
Representation cases,,,,,,
"Pending October 1, 2004",1375,947,35,60,272,61
Received fiscal 2005,4882,3624,152,240,764,102
On docket fiscal 2005,6257,4571,187,300,1036,163
Closed fiscal 2005,4787,3551,142,213,773,108
"Pending September 30, 2005",1470,1020,45,87,263,55
Union-shop deauthorization cases,,,,,,
"Pending October 1, 2004",60,,,,60,
Received fiscal 2005,104,,,,104,
On docket fiscal 2005,164,,,,164,
Closed fiscal 2005,112,,,,112,
"Pending September 30, 2005",52,,,,52,
Amendment of certification cases,,,,,,
"Pending October 1, 2004",9,4,0,0,0,5
Received fiscal 2005,8,5,1,2,0,0
On docket fiscal 2005,17,9,1,2,0,5
Closed fiscal 2005,10,3,0,2,0,5
"Pending September 30, 2005",7,6,1,0,0,0
Unit clarification cases,,,,,,
"Pending October 1, 2004",81,46,0,6,3,26
Received fiscal 2005,144,94,4,14,7,25
On docket fiscal 2005,225,140,4,20,10,51
Closed fiscal 2005,138,96,1,15,6,20
"Pending September 30, 2005",87,44,3,5,4,31
