Participating unions,Total elections / Total elec-tions,Elections won by unions / Per-cent won,Elections won by unions / Total won,Elections won by unions / AFL-CIO unions,Elections won by unions / Team-sters,Elections won by unions / Other na-tional unions,Elec-tions in which no rep-resent-ative chosen / Other local unions,Employees eligible to vote / Elec-tions in which no rep-resent-ative chosen,Employees eligible to vote / Total,Employees eligible to vote / In elec-tions won by,Employees eligible to vote / In units won by / AFL-CIO unions,Employees eligible to vote / In units won by / Team-sters,Employees eligible to vote / In units won by / Other na-tional unions,In elec-tions where no rep-resent-ative chosen / In units won by / Other local unions,In elec-tions where no rep-resent-ative chosen
D Elections in RD cases,,,,,,,,,,,,,,,
AFL-CIO,577,26.5,153,153,,,,424,31725,13060,13060,,,,18665
Teamsters,210,15.7,33,,33,,,177,8782,1660,,1660,,,7122
Other national unions,39,15.4,6,,,6,,33,1080,440,,,640,,409
Other local unions,27,18.5,5,,,,5,22,640,151,,,,151,342
1-union elections,833,23.6,197,153,33,6,5,636,42696,15311,13060,1660,640,151,27185
AFL-CIO v. AFL-CIO,2,100.0,2,2,,,,,307,307,307,,,,
AFL-CIO v. Teamsters,8,50.0,4,2,2,,,4,286,139,71,68,,,107
AFL-CIO v. national,3,66.7,2,1,,1,,1,874,639,639,,,,235
AFL-CIO v. local,2,100.0,2,1,,,1,,401,401,184,,,217,
Teamsters v. Teamsters,5,40.0,2,,2,,,3,732,312,,312,,,
Local v. local,1,100.0,1,,,,1,,570,570,,,,570,
2-union elections,23,78.3,18,6,3,2,2,5,2710,2368,562,380,639,787,342
Total RD elections,856,25.1,215,159,36,8,7,641,45406,17879,13622,2040,1279,938,27527
