row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3687,134,3.6,58,1.6,30,0.8,164,4.4,88,2.4
By type of case: ' •,,,,,,,,,,,
In RC cases,3214,121,3.8,", 55",1.7,29,0.9,150,4.7,84,2.6
In RMcases,52,4,7.7,0,,0,,4,7.7,0,
_ In RD cases •,421,9,2.1,3,0.7,1,0.2,10,2.4,4,1.0
By type of election:,,,,,,,,,,,
Consent elections,16,0,,0,,0,,0,,0,
,,,3.1,39,1.3,19,0.6,114,3.8,58,1.9
Expedited elections,4,0,,0,,0,,0,,0,
Regional Director-directed elections,627,39,6.2,18,. 2.9,11,1.8,50,8.0,29,4.6
_ Board-directed elections,10,0,,1,10.0,0,,0,,1,10.0
