row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Paper Manufacturing.................................,19,12,12,0,0,7,1125,1107,559,509,0,50,548,574
Printing and Related Support Activities....,15,2,1,1,0,13,1240,1118,349,321,28,0,769,47
Petroleum and Coal Products Manufacturing...........................................,12,7,6,0,1,5,399,389,230,152,38,40,159,163
Chemical Manufacturing...........................,40,14,14,0,0,26,2598,2428,1125,1124,0,1,1303,1022
Plastics and Rubber Products Manufacturing...........................................,27,8,6,2,0,19,3888,3447,1712,1268,400,44,1735,1438
Nonmetallic Mineral Product Manufacturing...........................................,26,9,8,1,0,17,1004,926,459,456,3,0,467,494
32-Manufacturing.................................,158,60,54,5,1,98,11412,10526,4920,4293,469,158,5606,4049
Primary Metal Manufacturing...................,30,15,15,0,0,15,1948,1904,1103,1092,6,5,801,1012
Fabricated Metal Product Manufacturing.,47,15,14,1,0,32,4307,3980,1574,1506,61,7,2406,959
Machinery Manufacturing.........................,27,12,12,0,0,15,2253,2155,905,905,0,0,1250,459
Computer and Electronic Product Manufacturing...........................................,10,4,4,0,0,6,1797,1635,720,703,0,17,915,161
"Electrical Equipment, Appliance and Component Manufacturing.......................",21,8,8,0,0,13,2965,2733,1209,1142,67,0,1524,946
Transportation Equipment Manufacturing,69,41,38,3,0,28,6778,6209,3222,2886,336,0,2987,3682
Furniture and Related Product Manufacturing...........................................,10,6,5,0,1,4,768,702,342,256,0,86,360,347
Miscellaneous Manufacturing...................,55,15,14,1,0,40,4453,4106,1757,1609,35,113,2349,1037
33-Manufacturing.................................,269,116,110,5,1,153,25269,23424,10832,10099,505,228,12592,8603
"Wholesale Trade, Durable Goods.............",46,20,19,1,0,26,1559,1448,651,558,89,4,797,539
"Wholesale Trade, Nondurable Goods.......",58,17,17,0,0,41,2927,2561,1457,1364,7,86,1104,1359
Wholesale Trade..................................,104,37,36,1,0,67,4486,4009,2108,1922,96,90,1901,1898
Motor Vehicle and Parts Dealers..............,52,29,27,2,0,23,924,837,387,387,0,0,450,397
