Action taken,Total all,Remedial action taken by — Employer / Total,Remedial action taken by — Employer / Pursuant to — Agreement of parties Informal settlement,Remedial action taken by — Employer / Pursuant to — Agreement of parties Formal settlement,Remedial action taken by — Employer / Recommendation of admin law judge,Remedial action taken by — Employer / Order of Board,Remedial action taken by — Employer / Order of Court,Remedial action taken by — Union / Total,Remedial action taken by — Union / Pursuant to — Agreement of parties Informal settlement,Remedial action taken by — Union / Pursuant to — Agreement of parties Formal settlement,Remedial action taken by — Union / Recommendation of admin law judge,Remedial action taken by — Union / Order of Board,Remedial action taken by — Union / Order of Court
A. By number of cases involved,12294,,,,,,,,,,,,
Notice posted,2999,2442,1775,147,13,324,183,557,414,53,3,67,20
Recognition or other assistance withdrawn,56,56,37,5,0,9,5,0,0,0,0,0,0
Employer-dominated union disestablished,20,20,12,2,0,1,5,0,0,0,0,0,0
Employees reinstated,3539,3539,2729,182,19,297,248,0,0,0,0,0,0
Employees placed on preferential hiring list,1263,1263,979,79,6,106,93,0,0,0,0,0,0
Hiring hall rights restored,296,0,,,,,,256,222,8,0,26,9
Objections to employment withdrawn,243,0,0,0,0,0,0,243,201,6,8,25,9
Picketing ended,385,0,0,0,0,0,0,385,365,16,0,2,2
Work stoppage ended,92,0,0,0,0,0,0,92,71,9,1,4,7
Backpay (monetary) — total,2565,2366,2088,96,1,108,81,199,189,4,0,5,3
"Reimbursement of fees, dues, and fines",1718,1344,1044,74,12,114,100,374,274,55,0,30,15
Other remedies,4546,3584,3448,60,7,53,16,962,940,0,0,19,3
B. By number of employers affected,,,,,,,,,,,,,
"Employees offered reinstatement, total",5363,5363,4063,198,11,362,729,0,0,0,0,0,0
B-subsection continuation: Accepted / Declined / Employees-placed-on-preferential-hiring-list / Hiring-hall-rights-restored / Objections-to-employment-withdrawn — dense small-font partial rows deferred,,,,,,,,,,,,,
