row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15
Maine,,1,1,,0,0,0,16,15,12,12,0,0,3,16
New Hampshire,,1 0,0 0,,0,0,0,0,0,0,0,0,0,0,0
Vermont,,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Massachusetts,,8,2,2,0,0,6,231,227,92,92,0,0,135,67
Rhode Island,,1,0 .,0,0,0,1,34,34,12,12,0,0,22,0
Connecticut,,5,3,0,0,3,2,85,79,47,2,0,45,32,75
New England,,15,6,3,0,3,9,366,355,163,118,0,45,192,158
New York,,44,12,6,1,5,32,1976,1560,669,421,59,189,891,681
New Jersey,,22,8,7,0,1,14,720,615,316,309,0,7,299,354
Pennsylvania,,20,6,5,0,1,14,538,464,207,183,0,24,257,211
Middle Atlantic,,86,26,18,1,7,60,3234,2639,1192,913,59,220,1447,1246
Ohio,,28,7,7,0,0',21,1234,1104,452,450,0,2,652,305
Indiana .,,19,10,10,0,0,9,996,851,536,534,2,0,315,748
Illinois,,39,11,II,0,0,28,1545,1295,604,556,21,27,691,790
Michigan',,26,7,7,0,0,19,661,558,261,261,0,0,297,276
Wisconsin,,18,7,7,0,0,II,845,733,368,368,0,0,365,397
East North Central,,130,42,42,0,0,88,5281,4541,2221,2169,23,29,2320,2516
Iowa,,9,3,3,0,0,6,339,279,128,128,0,0,151,211
Minnesota,,22,9,9,0,0,13,1583,1425,546,546,0,0,879,415
Missouri,,20,7,7,0,0,13,774,710,430,430,0,0,280,488
,,,0,0,0,0,1,412,338,146,- 0,0,146,192,0
North Dakota,,I,,,,,,,,,,,,,
