Action taken,Total all,Remedial action taken by— / Employer / Total,Remedial action taken by— / Employer / Agreement of parties / Informal settlement,Remedial action taken by— / Employer / Agreement of parties / Formal settlement,Remedial action taken by— / Employer / Pursuant to— / Recommendation of administrative law judge,Remedial action taken by— / Employer / Pursuant to— / Order of— Board,Remedial action taken by— / Employer / Pursuant to— / Order of— Court,Remedial action taken by— / Union / Total,Remedial action taken by— / Union / Agreement of parties / Informal settlement,Remedial action taken by— / Union / Agreement of parties / Formal settlement,Remedial action taken by— / Union / Pursuant to— / Order of— Board,Remedial action taken by— / Union / Pursuant to— / Order of— Court
A. By number of cases involved,11245,,,,,,,,,,,
Notice posted,3105,2685,2008,103,20,357,197,420,355,16,0,20
Recognition or other assistance withdrawn,19,19,12,4,0,1,2,0,0,0,0,0
Employer-dominated union disestablished,13,13,9,4,0,0,0,0,0,0,0,0
Employees offered reinstatement,909,909,722,24,3,108,52,0,0,0,0,0
Employees placed on preferential hiring list,94,94,70,12,2,0,10,0,0,0,0,0
Hiring hall rights restored,14,,,,,,,14,12,0,2,0
Objections to employment withdrawn,6,,,,,,,6,3,0,3,0
Picketing ended,124,,,,,,,124,115,3,6,0
Work stoppage ended,11,,,,,,,11,11,0,0,0
Collective bargaining begun,2728,2728,2471,51,4,134,68,0,0,0,0,0
Backpay distributed,2652,2536,2148,78,15,196,97,96,71,3,2,11
"Reimbursement of fees, dues, and fines",83,33,28,2,0,2,1,50,47,0,2,1
Other restoration of employment improved,0,0,0,0,0,0,0,0,0,0,0,0
Other remedies,0,0,0,0,0,0,0,0,0,0,0,0
B. By number of employees affected:,,,,,,,,,,,,
"Employees offered reinstatement, total",2760,2760,2061,233,6,255,205,,,,,
Accepted,2041,2041,1657,140,2,153,89,,,,,
