row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO v. Local............................,1,100.0,1,1,,0,0,38,38,38,,0,0
2-union elections..........................,11,81.8,9,3,3,3,2,306,299,162,30,107,7
Total RMelections........................,52,32.7,17,9,4,4,35,1622,973,287,280,406,649
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO,347,34.3,119,119,,,228,23714,13037,13037,,,10677
Other national unions........................,11,27.3,3,,3,,8,692,289,,289,,403
Other local unions..............................,17,29.4,5,,,5,12,364,151,,,151,213
1-union elections..........................,375,33.9,127,119,3,5,248,24770,13477,13037,289,151,11293
AFL-CIO v. National........................,1,100.0,1,0,1,,0,370,370,0,370,,0
Local v. Local....................................,2,100.0,2,,,2,0,372,372,,,372,0
AFL-CIO v. AFL-CIO......................,2,50.0,1,1,,,1,455,155,155,,,300
AFL-CIO v. Local............................,2,100.0,2,1,,1,0,499,499,408,,91,0
2-union elections..........................,7,85.7,6,2,1,3,1,1696,1396,563,370,463,300
Total RD elections........................,382,34.8,133,121,4,8,249,26466,14873,13600,659,614,11593
