row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17,col_18,col_19,col_20,col_21,col_22
Total all circuits,99,572,73,73.7,384,67.1,6,6.1,59,10.3,6,6.1,25,4.4,6,6.1,31,5.4,8,8.1,73,12.8
"1. Boston,MA",1,23,1,100.0,20,87.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,1,4.3,0,0.0,2,8.7
"2. New York, NY",6,40,4,66.7,28,70.0,1,16.7,2,5.0,1,0.0,3,7.5,0,0.0,2,5.0,0,16.7,5,12.5
"3. Philadelphia, PA",8,42,6,75.0,35,83.3,0,0.0,2,4.8,0,0.0,0,0.0,0,0.0,2,4.8,2,25.0,3,7.1
"4. Richmond, VA",6,45,6,100.0,20,44.4,0,0.0,7,15.6,0,0.0,0,0.0,0,0.0,5,11.1,0,0.0,13,28.9
"5. New Orleans, LA",3,16,3,100.0,11,68.8,0,0.0,1,6.3,0,0.0,0,0.0,0,0.0,1,6.3,0,0.0,3,18.8
"6. Cincinnati, OH",21,114,16,76.2,73,64.0,4,19.0,16,14.0,1,4.8,3,2.6,0,0.0,4,3.5,0,0.0,18,15.8
"7. Chicago, IL",10,35,6,63.6,22,62.9,0,0.0,4,11.4,1,9.1,2,5.7,2,18.2,1,2.9,1,9.1,6,17.1
"8. St. Louis,MO",3,22,3,100.0,16,72.7,0,0.0,3,13.6,0,0.0,2,9.1,0,0.0,1,4.5,0,0.0,0,0.0
"9. San Francisco, CA",3,68,2,66.7,56,82.4,0,0.0,5,7.4,0,0.0,1,1.5,1,33.3,2,2.9,0,0.0,4,5.9
"10. Denver, CO.",4,16,3,75.0,11,68.8,0,0.0,1,6.3,0,0.0,0,0.0,0,0.0,4,25.0,1,25.0,0,0.0
"11. Atlanta, GA",3,24,3,100.0,20,83.3,0,0.0,1,4.2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,3,12.5
"Washington, DC",31,127,19,63.3,72,56.7,1,3.3,17,13.4,4,13.3,14,11.0,3,10.0,8,6.3,3,10.0,16,12.6
