row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Wood Product Manufacturing...................,24,8,7,1,0,16,1762,1601,802,606,196,0,799,825
Paper Manufacturing.................................,32,8,6,1,1,24,2319,2146,891,803,53,35,1255,812
Printing and Related Support Activities....,16,7,6,0,1,9,817,773,264,234,24,6,509,119
Petroleum and Coal Products Manufacturing...........................................,10,2,2,0,0,8,707,555,204,204,0,0,351,107
Chemical Manufacturing...........................,41,16,14,0,2,25,2944,2734,1200,908,0,292,1534,1092
Plastics and Rubber Products Manufacturing...........................................,28,6,6,0,0,22,4654,4269,1606,1600,6,0,2663,577
Nonmetallic Mineral Product Manufacturing...........................................,42,19,16,2,1,23,1836,1606,651,632,7,12,955,379
32-Manufacturing.................................,193,66,57,4,5,127,15039,13684,5618,4987,286,345,8066,3911
Primary Metal Manufacturing...................,58,22,22,0,0,36,3988,3662,1671,1632,8,31,1991,1216
Fabricated Metal Product Manufacturin...,71,21,20,1,0,50,6459,6178,2520,2496,24,0,3658,1239
Machinery Manufacturing.........................,49,14,13,0,1,35,5168,4675,2178,2171,0,7,2497,2175
Computer and Electronic Product Manufacturing...........................................,6,3,3,0,0,3,258,226,97,97,0,0,129,138
"Electrical Equipment, Appliance and Component Manufacturing.......................",21,6,5,1,0,15,4345,3953,1833,1727,24,82,2120,1222
Transportation Equipment Manufacturing,73,40,40,0,0,33,25155,19751,6156,6066,8,82,13595,3458
Furniture and Related Product Manufacturing...........................................,16,4,4,0,0,12,3966,3659,1534,1512,0,22,2125,208
Miscellaneous Manufacturing...................,62,27,26,1,0,35,6120,5436,2336,2289,3,44,3100,1595
33-Manufacturing.................................,356,137,133,3,1,219,55459,47540,18325,17990,67,268,29215,11251
