Mode of disposition,Number of cases,Percentage of — Total cases closed,Percentage of — Total cases on docket,Number of workers involved,Percentage of — Total number of workers involved in cases closed,Percentage of — Total number of workers involved in cases on docket
"Cases pending June 30, 1938",75,,26.2,13344,,12.1
"Cases received July 1, 1938 to June 30, 1939",211,,73.8,97339,,87.9
Total cases on docket,286,,100.0,110683,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,76,39.8,26.6,21052,67.2,19.0
By dismissal,26,13.6,9.1,2838,9.1,2.6
By withdrawal,59,30.9,20.6,6136,19.6,5.6
Otherwise,7,3.6,2.4,705,2.2,.6
Total cases closed before issuance of complaint,168,87.9,58.7,30731,98.1,27.8
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,,,,,,
By settlement after hearing,12,6.3,4.2,17,.1,0
By dismissal before hearing,,,,,,
By dismissal after hearing,,,,,,
By withdrawal before hearing,,,,,,
By withdrawal after hearing,,,,,,
By intermediate report finding no violation,,,,,,
By compliance with intermediate report,,,,,,
By dismissal by Board decision,3,1.6,1.1,6,(1),(1)
By compliance with Board decision,8,4.2,2.8,552,1.8,.5
Total cases closed after issuance of complaint,23,12.1,8.1,575,1.9,.5
"Total cases closed July 1, 1938 to June 30, 1939",191,100.0,,31306,100.0,
"Cases pending June 30, 1939",95,,33.2,79377,,71.7
