row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO v Local,39,846,33,20,,13,6,8894,3784,3035,,749,5110
National v Local,2,100 0,2,,I,1,0,53,53,,12,41,0
Local v Local,7,100 0,7,,,7,0,1427,1427,,,1427,0
2-union elections,84,81 0,68,39,8,21,16,15059,8790,4701,1872,2217,6269
AFL-CIO v AFL-C10 v AFL-CIO,1,100 0,1,1,,,0,166,166,166,,,0
AFL-C10 v AFL-C10 v Local,2,100 0,2,1,,1,0,417,417,23,,394,0
AFL-CIO v Local v Local,1,100 0,I,0,,I,0,121,121,0,,121,0
3 (or more)-union elections,4,100 0,4,2,0,2,0,704,704,189,0,515,0
Total RC elections,3289,516,1696,1502,53,141,1593,227390,90248,71792,5821,12635,137142
,,,,,,C,Elections in RM,cases,,,,,
AFL-CIO,45,244,II,II,,,34,1146,387,387,,,759
Other National unions,1,00,o,,o,,I,85,0,,o,,85
Other local unions,2,00,0,,,0,2,27,0,,,0,27
I-union elections,48,229,11,11,0,0,37,1258,387,387,0,0,871
AFL-C10 v AFL-CIO,1,100 0,I,1,,,0,5,5,5,,,0
2-union elections,1,100 0,1,I,0,0,0,5,5,5,0,0,0
AFL-C10 v AFL-CIO v AFL-CIO,I,100 0,1,1,,,0,18,18,18,,,0
3 (or more) union elections,1,100 0,1,1,0,0,o,18,18,18,0,0,0
Total RMelections,50,260,13,13,0,0,37,1281,410,410,0,o,871
,,,,,,D,Elections in RD,cases,,,,,
AFL-CIO,401,324,130,130,,,271,19391,8999,8999,,,10392
Other national unions,10,100,I,,I,,9,289,35,,35,,254
Other local unions,35,25 7,9,,,9,26,1952,467,,,467,1485
