Case No.,Union and company,Date petition for injunction filed,Type of petition,Temporary restraining order — Date issued,Temporary restraining order — Date lifted,Date temporary injunction granted,Date injunction denied,Date injunction proceedings dismissed or dissolved,Date Board decision and order
"21-CC-280, 267, CD-30","Retail Clerks and Local 770 (Food Employers Council, Inc.)","Apr. 3, 1958",10 (l),,,,,,"May 9, 1958"
4-CC-98,"*Teamsters, Local 830 (Delaware Valley Beer Distributors)","Apr. 3, 1958",10 (l),,,"Apr. 3, 1958","May 1, 1958",,Settled.
12-CC-26,"Hod Carriers, Local 1019 (Thad Sizemore)","Apr. 9, 1958",10 (l),,,,,,
"2-CC-455, 5-CC-128","Electrical Workers, Local 1212 (Joseph P. Ritz Co.)","Apr. 16, 1958",10 (l),,,,,,"June 23, 1958"
12-CC-11,"Distillery Workers, Local 1 (Leonard Krenich, Inc.)","Apr. 18, 1958",10 (l),,,"Apr. 18, 1958","Apr. 23, 1958",,Withdrawn.
12-CC-19,"Hod Carriers, Local 147 (J.J. Rich Steers, Inc.)","Apr. 21, 1958",10 (l),,,,,,
"2-CC-454, CD-156","*Teamsters, Local 867, et al. (New York Shipping Association, Inc.)","Apr. 24, 1958",10 (l),,,"Apr. 24, 1958","Apr. 28, 1958",,
7-CC-72,"Carpenters, Local 982, et al. (Robert Hawes, Co.)","May 1, 1958",10 (l),,,,,,"May 7, 1958"
33-CB-104,"Sheet Metal Workers, Local 49 (New Mexico Sheet Metal)","May 1, 1958",10 (l),,,,,,
"13-CC-168, 172, 180","*Longshoremen International Brotherhood, Local 10 and M.M.P. Great Lakes District (Dunno Calumet Co., P. & V. Atlas Marine Corp., World Net Terminal Co.)","May 1, 1958",10 (l),,,"May 2, 1958","June 17, 1958","June 17, 1958",
22-CC-12,"Garment Workers, Ladies, Local 155 (Morecake Knitting Mills, Inc.)","May 12, 1958",10 (l),,,"May 12, 1958","May 16, 1958",,
5-CC-157,"Butler Building Trades Council, and Carpenters, District Council of Pittsburgh and Vicinity (Fenway Homes, Inc.)","May 13, 1958",10 (l),,,,,,Settled.
18-CC-54,"*Teamsters, Local 238 (Boyd & Rummelhart Plumbing & Heating Co.)","May 28, 1958",10 (l),,,,,,"June 5, 1958"
11-CC-27,"*Teamsters, Local 70, and J.W. Hughes, John Walker, Manuel Fernando, Roger Stryker Systems, Inc., Florida Retail-Owned Grocers, Inc., Barker & Co.","June 2, 1958",10 (l),,,"June 2, 1958",,,
"12-CC-155, CD-34","Plumbers, Local 651 and Lowell Hunt, Business Agent (Maryland Foundation Corp.)","June 4, 1958",10 (l),,,,,,
