Formal action taken,All cases,Unfair labor practice cases / All C cases,Unfair labor practice cases / CA cases 1,Unfair labor practice cases / Other C cases 1,Representation cases
Complaints issued,689,689,394,295,
Notices of hearing issued,3516,37,,37,3479
Cases heard,2452,550,262,288,1902
Intermediate reports issued,370,370,206,164,
"Decisions issued, total",2199,458,178,280,1741
Decisions and orders,265,265,147,118,
Decisions and consent orders,193,193,31,162,
Elections directed,1387,,,,1387
Rulings on objections and/or challenges in stipulated election cases,145,,,,145
Dismissals on record,209,,,,209
