row_label,Total / Number,Total / Percent by type,By employer / Number,By employer / Percent by type,By union / Number,By union / Percent by type,By both parties / Number,By both parties / Percent by type
All representation elections,263,100.0,101,38.4,157,59.7,5,1.9
By type of case,,,,,,,,
RC cases,225,100.0,93,41.3,129,57.4,3,1.3
RM cases,2,100.0,2,100.0,0,,0,
RD cases,36,100.0,6,16.7,28,77.7,2,5.6
By type of election,,,,,,,,
Consent elections,0,,0,,0,,0,
Stipulated elections,206,100.0,76,36.9,127,61.6,3,1.5
Expedited elections,1,100.0,1,100.0,0,,0,
Regional Director-directed elections,56,100.0,24,42.8,30,53.6,2,3.6
Board-directed elections,0,,0,,0,,0,
