row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",977,953,834,28,91,12
By regional directors,318,317,286,11,20,9
By Board,659,636,548,17,71,3
In stipulated elections,601,581,501,15,65,3
No exceptions to regional directors reports,344,342,309,8,25,0
Exceptions to regional directors' reports,256,239,192,7,40,3
In directed elections (after transfer by regional director),54,51,43,2,6,0
Review of regional directors' supplemental deci- sions,,,,,,
Request for review received,177,174,170,2,2,0
Withdrawn before request ruled upon,0,0,0,0,0,0
"Board action on request ruled upon, total",186,165,163,0,1,0
Granted,21,21,20,0,0,0
Denied,161,143,142,0,1,0
Remanded,4,1,1,o,o,0
"Withdrawn after request granted, before Board review",o,0,0,0,o,0
"Board decision after review, total",4,4,4,0,0,0
Regional directors' decisions,,,,,,
Affirmed,1,1,1,0,0,0
Modified,1,1,1,0,0,0
Reversed,2,2,2,0,0,0
