row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
AFL-CIO v. AFL-CIO............................,3016,2158,2158,,,76,319,319,,,463
AFL-CIO v. Local....................................,5979,5153,1644,,3509,826,0,0,,0,0
2-union elections..................................,11700,9708,3897,1449,4362,1117,336,319,1,16,539
AFL-CIO v. Local v. Local......................,5,5,0,0,5,0,0,,,,
National v. Local v. Local........................,13,13,0,0,13,0,0,,,,
National v. National v. National..............,44,43,0,43,0,1,0,,,,
AFL-CIO v. AFL-CIO v. AFL-CIO........,121,106,106,0,0,15,0,,,,
AFL-CIO v. AFL-CIO v. Local..............,23,23,20,0,3,0,0,,,,
3 (or more)-union elections..................,206,190,126,43,21,16,0,0,0,0,0
Total RC elections................................,123546,40609,31968,2991,5650,13289,24176,23016,408,752,45472
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
AFL-CIO..................................................,676,78,78,,,43,137,137,,,418
Other local unions....................................,223,212,0,0,212,11,0,,,,
Other national unions..............................,188,99,,99,,74,5,,5,,10
1-union elections..................................,1087,389,78,99,212,128,142,137,5,0,428
National v. Local......................................,98,96,0,32,64,2,0,,,,
AFL-CIO v. AFL-CIO............................,114,109,109,,,1,4,4,,,0
AFL-CIO v. Local....................................,38,26,26,0,0,12,0,,,,
2-union elections..................................,250,231,135,32,64,15,4,4,0,0,0
Total RMelections..............................,1337,620,213,131,276,143,146,141,5,0,428
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO..................................................,19705,7107,7107,,,3776,3074,3074,,,5748
Other national unions..............................,505,135,,135,,58,111,,111,,201
Other local unions....................................,282,64,,,64,26,53,,,53,139
1-union elections..................................,20492,7306,7107,135,64,3860,3238,3074,111,53,6088
AFL-CIO v. National..............................,284,277,130,147,0,7,0,,,,
Local v. Local..........................................,380,370,0,0,370,10,0,,,,
AFL-CIO v. AFL-CIO............................,325,124,124,,,10,66,66,,,125
