row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16,col_17
Total number of cases closed...............................,24051,100.0,,17879,100.0,5593,100.0,329,100.0,109,100.0,40,100.0,30,100.0,71,100.0
Agreement of the parties......................................,8848,36.8,100.0,7497,41.9,1134,20.3,149,45.3,21,19.3,12,30.0,12,40.0,23,32.4
Informal settlement.....................................,8844,36.8,100.0,7496,41.9,1131,20.2,149,45.3,21,19.3,12,30.0,12,40.0,23,32.4
Before issuance of complaint...............,7304,30.4,82.5,6148,34.4,965,17.3,132,40.1,21,19.3,8,20.0,11,36.7,19,26.8
"After issuance of complaint, before opening of hearing..........................",1450,6.0,16.4,1266,7.1,158,2.8,17,5.2,0,0.0,4,10.0,1,3.3,4,5.6
"After hearing opened, before issuance of administrative law judge's decision...........................................",90,0.4,1.0,82,0.5,8,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Formal settlement........................................,4,0.0,0.0,1,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Before opening of hearing...................,3,0.0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,3,0.0,0.0,0,0.0,3,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
After hearing opened...........................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Stipulated decision........................,1,0.0,0.0,1,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Consent decree..............................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Compliance with...................................................,544,2.3,100.0,473,2.6,57,1.0,5,1.5,5,4.6,2,5.0,0,0.0,2,2.8
Administrative law judge's decision..........,26,0.1,4.8,26,0.1,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Board decision............................................,294,1.2,54.0,247,1.4,42,0.8,2,0.6,0,0.0,2,5.0,0,0.0,1,1.4
Adopting administrative law judge's decision (no exceptions filed)........,124,0.5,22.8,104,0.6,20,0.4,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Contested............................................,170,0.7,31.3,143,0.8,22,0.4,2,0.6,0,0.0,2,5.0,0,0.0,1,1.4
Circuit court of appeals decree....................,224,0.9,41.2,200,1.1,15,0.3,3,0.9,5,4.6,0,0.0,0,0.0,1,1.4
Supreme Court action..................................,0,0.0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
