row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections................................,2222,121,5.4,38,1.7,11,0.5,132,5.9,49,2.2
By type of cases:,,,,,,,,,,,
In RC cases................................................,1811,105,5.8,35,1.9,9,0.5,114,6.3,44,2.4
In RMcases..............................................,39,3,7.7,0,0.0,0,0.0,3,7.7,0,0.0
In RD cases...............................................,372,13,3.5,3,0.8,2,0.5,15,4.0,5,1.3
By type of election:,,,,,,,,,,,
Consent elections......................................,71,2,2.8,0,0.0,0,0.0,2,2.8,0,0.0
Stipulated elections...................................,1777,44,2.5,24,1.4,7,0.4,51,2.9,31,1.7
Expedited elections...................................,2,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional Director-directed elections........,372,75,20.2,14,3.8,4,1.1,79,21.2,18,4.8
Board-directed elections...........................,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0.0
