row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elect lon q,0112,698,7 7,379,4 2,195,2 1,893,9 8,574,6 3
By type of case,,,,,,,,,,,
In RC cases,8231,635,7 7,347,4 2,172,2 1,807,9 8,519,6 3
In RAI cases,383,38,9 9,18,4 7,14,3 7,52,13 6,32,8 4
In RD cases,498,25,5 0,14,2 8,9,1 8,34,6 8,23,4 6
"By tj, pe of election",,,,,,,,,,,
Consent elections,1301,47,3 7,24,1 9,11,0 8,58,4 5,35,2 7
Stipulated elections,6133,455,7 4,259,4 2,145,2 4,600,9 8,404,6 6
Expedited elections,32,6,18 8,0,,0,,6,18 8,0,
Regional director-directed elections,1509,189,11 8,89,5 6,37,2 3,226,14 1,126,7 9
Boai d-dnected elect ions,47,1,2 1,7,14 8,2,4 3,3,6 4,9,19 1
