row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7
All representation elections.............................................,163,55,108,97,89.8,11,10.2
By type of case:,,,,,,,
RC cases................................................................,133,49,84,74,88.1,10,11.9
RMcases................................................................,1,0,1,1,100.0,0,0.0
RD cases................................................................,29,6,23,22,95.7,1,4.3
By type of election:,,,,,,,
Consent elections....................................................,3,0,3,3,100.0,0,0.0
Stipulated elections................................................,92,50,42,35,83.3,7,16.7
Expedited elections................................................,0,0,0,0,0.0,0,0.0
Regional Director-directed elections......................,68,5,63,59,93.7,4,6.3
Board-directed elections........................................,0,0,0,0,0.0,0,0.0
