row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,8464,697,8.2,302,3.5,159,1.8,856,10 1,461,5 4
By type of case,,,,,,,,,,,
In RC cases,7311,626,8.5,263,3 5,141,1 9,767,10.4,404,5 5
In RM cases,270,19,7.0,14,5.1,5,1 8,24,8.8,19,7 . 0
In RD cases,820,52,6.3,25,3.0,13,1.5,65,7.9,38,4 6
By type of election,,,,,,,,,,,
Consent elections,646,11,1.7,10,1.5,0,0.0,11,1.7,10,1.5
Stipulated elections,6314,482,7.6,219,3.4,125,1.9,607,9.6,344,5.4
Expedited elections,19,6,0.0,0,0.0,0,0.0,0,0.0,0,0.0
Regional director-directed elections,1439,187,12 9,72,5.0,30,2 0,217,15.0,102,7.0
Board-directed elections,46,17,36.9,1,2.1,4,8 6,21,45 6,5,108
