Affiliation of participating unions,Number of elections / Total,Number of elections / In which representation rights were won by AFL-CIO affiliates,Number of elections / In which representation rights were won by Unaffiliated unions,Number of elections / In which no representative was chosen,Number of employees involved (number eligible to vote) / Total,Number of employees involved (number eligible to vote) / In units where representation rights were won by AFL-CIO affiliates,Number of employees involved (number eligible to vote) / In units where representation rights were won by Unaffiliated unions,Number of employees involved (number eligible to vote) / In units where no representative was chosen,Number of employees involved (number eligible to vote) / Total valid votes cast
Total,6380,2400,1340,2640,483964,178427,107621,197916,436723
1-union elections — AFL-CIO,3651,1989,,1662,242171,101007,,141164,220739
1-union elections — Unaffiliated,1774,,955,819,62361,,34734,27627,56403
2-union elections + 3-union + 4-union + 5-union,,,,,,,,,
