row_label,col_1,col_2,col_3,col_4
Cases disposed of before issuance of complaint:,,,,
By settlement,240,25966,27.8,45.2
By withdrawal of charge,168,37772,19.4,31.8
By refusal to issue complaint,108,15681,12.5,20.8
By transfer,13,1779,1.5,2.5
By consolidation,2,", .1",• 2,.4
Total disposed of before issuance of complaint,531,81199,61.4,100.0
Cases disposed of after issuance of complaint:,,,,
By settlement before hearing,18,1365,2.1,17.1
By settlement during hearing,6,SS,.7,5.7
By settlement after hearing,13,2119,1.5,12.4
By dismissal after hearing by Board or trial examiners,9,2199,1.0,8.6
By withdrawal of charge after hearing,3,231,.8,2.9
By cease-and-desist orders issued by the Board_,56,5514,6.5,53.3
Total disposed of after issuance of complaint,105,11526,12.1,100.0
Cases pending:,,,,
Hearings to be held,135,36725,15.6,58.9
Hearings prevented by injunction,30,17487,3.5,18.1
Decisions of Board pending,48,11934,5.5,21.0
Intermediate reports pending,16,1475,1.9,7.0
Total cases pending,229,67621,26.5,100.0
Total complaint cases,886,". 180,346",we (),
