row_label,col_1,col_2
"Total,all……………………………………………………………………………….",12,217
Certification amended or unitclarified……………………………………………………...,8,43
Beforehearing………………………………………………………………………...,3,27
By Regional Director'sdecision………………………………………………..,3,27
ByBoarddecision………………………………………………………………,0,0
Afterhearing…………………………………………………………………………..,5,16
By Regional Director'sdecision………………………………………………..,5,16
ByBoarddecision………………………………………………………………,0,0
Dismissed……………………………………………………………………………………,2,57
Beforehearing………………………………………………………………………...,1,10
By Regional Director'sdecision………………………………………………..,1,10
ByBoarddecision………………………………………………………………,0,0
Afterhearing…………………………………………………………………………..,1,47
By Regional Director'sdecision………………………………………………..,1,47
ByBoarddecision………………………………………………………………,0,0
Withdrawn…………………………………………………………………………………...,2,117
Beforehearing………………………………………………………………………...,2,109
Afterhearing…………………………………………………………………………..,0,8
