row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14
Delaware,16,4,4,0,0,12,1166,1041,358,358,0,0,683,210
Maryland,48,22,22,0,0,26,2620,2303,1141,1104,0,37,1162,908
District of Columbia,16,14,10,0,4,2,997,678,564,I 1 1,0,453,114,982
Virginia,30,19,18,0,1,II,5227,4851,1674,1661,0,13,3177,1394
West Virginia,39,22,20,1,1,17 -,3281,2946,1385,1172,191,22,1561,897
North Carolina,26,7,5,1,.1,19,4383,4067,1595,1536,39,20,2472,238
South Carolina,10,4,4,0,0,6,748,711,328,328,0,0,383,296
Georgia,42,20,17,1,2,22,3445,2957,1497,1445,39,13,1460,1923
Florida,98,51,46,2,3,47,7723,7480,3510,3384,40,86,3970,2816
South Atlantic,325,163,146,5,12,162,29590,27034,12052,11099,309,644,14982,9664
Kentucky,59,28,23,5,0,31,6611,5912,2536,2362,174,0,3376,2173
Tennessee,51,29,27,1,1,22,3112,2861,1514,1484,13,17,1347,1995
Alabama,43,21,20,0,I,22,6395,6045,2179,2 132,42,5,3866,1004
Mississippi,13,6,5,0,1,7,1278,1150,489,473,0,16,661,363
East South Central,166,84,75,6,3,82,17396,15968,6718,6451,229,38,9250,5535
Arkansas,24,11,II,0,0,13,"- 2,393",2221,1129,1120,0,9,1092,1396
Louisiana,30,16,13,2,I,14,2101,1807,833,690,100,43,974,844
Oklahoma,21,6,6,0,. 0,15,1589,1395,535,532,3,0,860,242
Texas,69,31,28,0,3,38,5578,4957,2313,2188,4,121,2644,1894
West South Central,144,64,58,2,4,80,11661,10380,4810,4530,107,173,5570,4376
Montana,21,12,II,0,I,9,593,496,276,218,0,58,220,290
Idaho,8,5,4,0,1,3,183,139,100,91,0,9,39,163
Wyoming,4,1,1,0,0,3,270,237,85,85,0,0,152,4
Colorado,23,12,12,0,0,11,695,596,272,270,2,0,324,374
New Mexico,17,10,9,1,0,7,1598,1476,948,940,8,0,528,1236
Arizona,25,12,11,1,0,13,2920,2525,1432,1412,20,0,1093,1520
Utah,6,2,2,0,0,4,144,134,48,48,0,0,86,35
Nevada,36,. 19,19,0,0,17,1118,934,442,442,0,0,492,418
