row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total......................................................",573,552,500,5,47,4
Initial hearing......................................................................,445,429,388,4,37,2
Hearing on objections and/or challenges............................,128,123,112,1,10,2
"Decisions issued, total............................................................",427,408,368,5,35,11
By Regional Director..........................................................,384,368,332,3,33,9
Elections directed..........................................................,331,315,293,1,21,8
Dismissals on record....................................................,53,53,39,2,12,1
By Board............................................................................,43,40,36,2,2,2
Transferred by Regional Directors for initial decision.,1,1,1,0,0,0
Elections directed...................................................,1,1,1,0,0,0
Dismissals on record..............................................,0,0,0,0,0,0
Other……………………………………………..,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,190,174,140,8,26,1
Withdrawn before request ruled upon....................,31,27,18,0,9,1
"Board action on request ruled upon, total..............",154,144,120,8,16,1
Granted..............................................................,30,27,26,0,1,1
Denied..............................................................,114,108,87,7,14,0
Remanded........................................................,10,9,7,1,1,0
"Withdrawn after request granted, before Board review......................................................................",5,5,5,0,0,0
"Board decision after review, total..........................",42,39,35,2,2,2
Regional Directors' decisions:,,,,,,
Affirmed......................................................,7,7,5,1,1,0
Modified......................................................,6,5,5,0,0,0
Reversed......................................................,29,27,25,1,1,2
Outcome:,,,,,,
Election directed........................................,39,36,33,2,1,1
Dismissals on record...................................,3,3,2,0,1,0
Other……………………………………..,0,0,0,0,0,1
"Decisions on Objections and/or Challenges, total..................",468,449,398,3,48,5
By Regional Directors........................................................,198,187,167,1,19,2
By Administrative Law Judges,19,17,17,0,0,0
By Board............................................................................,251,245,214,2,29,3
In stipulated elections..................................................,220,216,188,1,27,1
No Exceptions to Regional Directors' reports......,123,123,106,0,17,1
Exceptions to Regional Directors' reports..............,97,93,82,1,10,0
In directed elections ( after transfer by Regional Director)........................................................................,24,23,20,1,2,2
No exceptions to RDs/HOs Reports,7,7,5,1,1,2
Exceptions to RDs/HOs Reports,17,16,15,1,0,0
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received..................................,21,18,16,1,1,0
Withdrawn before request ruled upon....................,2,2,2,0,0,0
"Board action on request ruled upon, total..............",22,18,16,1,1,0
Granted..............................................................,7,5,5,0,0,0
,,,,,,0
Denied.............................................................. Remanded........................................................,7 7,7 6,5 6,1 0,1 0,0
