Industrial group,Total elections held,Won by unions — Total,Won by unions — AFL-CIO,Won by unions — Teamsters,Won by unions — Other national unions,Won by unions — Other local unions,Number of elections in which no representative was chosen,Number of employees eligible,Total valid votes cast,Valid votes cast for unions — Total,Valid votes for unions — AFL-CIO,Valid votes for unions — Teamsters,Valid votes for unions — Other national unions,Valid votes for unions — Other local unions,Total votes for no union,Eligible employees in units choosing union
"Total, all industrial groups",8116,4791,2905,833,294,240,3325,623711,554133,339347,222381,41784,37602,37580,214786,357114
Manufacturing,4472,2562,1744,343,181,92,1910,466925,421181,245455,169906,26113,33469,16872,174726,
Ordnance and accessories,29,19,15,4,0,0,10,6300,5331,,,,,,,
Food and kindred products,635,380,204,142,24,10,247,31460,29442,,,,,,,
Machinery (except electrical),460,226,124,36,23,14,224,,,,,,,,,
"Electrical machinery, equipment, and supplies",319,159,88,39,13,6,160,75124,,,,,,,,
Transportation equipment,263,156,84,30,17,22,109,44683,,,,,,,,
Primary metal industries,234,153,87,38,16,2,81,26884,,,,,,,,
Chemicals and allied products,306,163,100,41,14,0,137,23167,,,,,,,,
Fabricated metal products (except machinery and transportation equipment),384,279,154,71,41,11,105,30802,,,,,,,,
