Industrial group 1,All cases,Unfair labor practice cases / CA 2,Unfair labor practice cases / CB 2,Unfair labor practice cases / CC 2,Unfair labor practice cases / CD 2,Representation cases / RC 2,Representation cases / RM 2,Representation cases / RD 2
Total,13341,3522,1171,421,151,7121,595,360
Manufacturing,8011,2206,404,93,19,4721,311,257
Ordnance and accessories,56,22,0,0,1,28,2,3
Food and kindred products,1050,290,61,26,2,625,42,34
Tobacco manufacturers,29,7,0,0,0,21,1,0
Textile mill products,306,145,8,2,0,135,9,7
Apparel and other finished products made from fabrics and similar materials,306,155,21,2,0,97,25,6
Lumber and wood products (except furniture),393,109,16,8,0,227,24,9
Furniture and fixtures,398,135,16,5,2,216,18,6
Paper and allied products,314,62,19,6,3,207,8,9
"Printing, publishing, and allied industries",345,68,31,2,0,229,6,9
Chemicals and allied products,436,96,13,6,0,275,25,21
Products of petroleum and coal,152,38,7,0,0,86,10,11
