row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13,col_14,col_15,col_16
West Virginia..........................................................,434,367,278,82,4,3,0,0,0,60,49,2,9,2,0,5
South Atlantic....................................................,3879,3322,2683,610,17,5,1,2,4,536,450,12,74,4,1,16
Iowa........................................................................,304,230,204,24,1,0,0,1,0,72,54,5,13,1,0,1
Kansas......................................................................,227,190,144,41,5,0,0,0,0,35,26,0,9,0,0,2
Minnesota................................................................,458,315,251,46,7,3,7,0,1,131,100,3,28,3,0,9
Missouri..................................................................,981,822,601,174,24,17,0,1,5,151,110,5,36,5,0,3
North Dakota..........................................................,32,21,17,1,0,0,0,3,0,10,7,0,3,0,0,1
Nebraska..................................................................,82,64,56,7,0,1,0,0,0,16,12,2,2,0,0,2
South Dakota..........................................................,25,14,14,0,0,0,0,0,0,11,7,1,3,0,0,0
West North Central............................................,2109,1656,1287,293,37,21,7,5,6,426,316,16,94,9,0,18
Arkansas..................................................................,180,154,137,17,0,0,0,0,0,26,16,0,10,0,0,0
Louisiana................................................................,369,329,246,78,2,2,0,0,1,39,28,0,11,1,0,0
Oklahoma................................................................,240,199,144,54,1,0,0,0,0,37,29,2,6,1,0,3
Texas........................................................................,1199,1098,891,207,0,0,0,0,0,94,81,5,8,0,0,7
West South Central............................................,1988,1780,1418,356,3,2,0,0,1,196,154,7,35,2,0,10
"Total, all States and areas..................................",35851,30175,23033,6269,476,212,33,34,118,5285,4246,146,893,137,12,242
