row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,8317,793,9 5,258,3 1,204,2 5,997,12 0,462,5 6
By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case,By type of case
In RC cases,7679,755,9 8,237,3 1,191,2 5,946,12 3,428,5 6
In RIVI cases,394,25,6 3,14,3 6,12,3 0,37,9 4,26,6 6
In RD cases,244,"1,3",5 3,7,2 9,1,0 4,14,5 7,8,3 3
By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election,By type of election
Consent elections,2506,125,5 0,77,3 1,42,1 7,167,6 7,119,4 7
Stipulated elections,3974,378,9 5,113,2 8,79,2 0,457,11 5,192,4 8
Expedited elections,16,2,12 5,0,,0,,2,12 5,0,
Regional director-directed elections,1710,267,15 6,61,3 6,76,4 4,343,20 1,137,8.0
Board-directed elections_,111,21,18 9,7,0.3,7,6 3,28,25 2,14,12 6
