Results,"July 1, 1946, to June 30, 1947 / Number","July 1, 1946, to June 30, 1947 / Percent","July 5, 1935, to June 30, 1947 / Number","July 5, 1935, to June 30, 1947 / Percent"
Cases decided by United States circuit courts of appeals,70,100.0,705,100.0
Board orders enforced in full,49,70.0,420,59.6
Board orders enforced with modification,10,14.3,185,26.2
Board orders set aside,10,14.3,89,12.6
Remanded to Board,1,1.4,11,1.6
Cases decided by U. S. Supreme Court,5,100.0,59,100.0
Board orders enforced in full,4,80.0,45,76.3
Board orders enforced with modification,,,9,15.2
Board orders set aside,,,2,3.4
Remanded to Board,,,1,1.7
Remanded to circuit courts of appeals,1,20.0,1,1.7
Board's request for remand or modification of enforced order denied,,,1,1.7
