row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO,40,30.0,12,12,,,28,921,380,380,,,541
Other local unions..............................,1,0.0,0,,,0,1,9,0,,,0,9
1-union elections..........................,41,29.3,12,12,0,0,29,930,380,380,0,0,550
Local v. Local....................................,1,100.0,1,,,1,0,561,561,,,561,0
National v. National..........................,2,100.0,2,,2,,0,92,92,,92,,0
AFL-CIO v. AFL-CIO...................... 2-union elections..........................,3 6,100.0 100.0,3 6,3 3,-- 2,-- 1,0 0,279 932,279 932,279 279,-- 92,-- 561,0 0
Total,47,38.3,18,15,,1,29,1862,,659,92,,550
RMelections........................,,,,,2,,,,1312,,,561,
D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases,D. Elections in RD cases
AFL-CIO,392,31.6,124,123,,1,268,24160,7841,7818,,23,16319
Other local unions..............................,8,12.5,1,,,1,7,230,42,,,42,188
Other national unions........................,12,33.3,4,,4,,8,652,337,,337,,315
1-union elections..........................,412,31.3,129,123,4,2,283,25042,8220,7818,337,65,16822
AFL-CIO v. AFL-CIO......................,3,33.3,1,1,,,2,231,218,218,,,13
2-union elections..........................,3,33.3,1,1,0,0,2,231,218,218,0,0,13
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO........................................,1,0.0,0,0,,,1,102,0,0,,,102
3 (or more)-union elections..........,1,0.0,0,0,0,0,1,102,0,0,0,0,102
Total RD elections........................,416,31.3,130,124,4,2,286,25375,8438,8036,337,65,16937
