row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
"Total, all","7,859_ _",100 0,5389,1(8)0,651,1000,1819,100 0,264,100 0
"Certification Issued, total",4896,62 3,3646,67 6,296,45 5,954,52 4,148,56 1
After,,,,,,,,,,
Consent election,183,23,114,21,18,28,51,28,15,57
Before notice of hearing,74,0 9,40,0 7,11,1 7,23,1 3,14,5 3
"After notice of hearing, before hearing closed",109,1 4,74,1 4,7,11,28,1 5,1,04
"After heanng closed, before decision",0,00,0,00,0,00,0,00,0,00
Stipulated election,3943,502,2974,552,207,31 8,762,41 9,87,330
Before notice of hearing,1215,155,806,150,92,14 1,317,174,71,269
"After notice of heanng, before hearing closed",2704,344,2147,398,114,175,443,244,16,61
"After hearing closed, before decision",24,0 3,21,0 4,1,0 2,2,0 1,0,00
Expedited election,5,0 1,1,00,4,06,0,00,0,00
Regional director-directed election -,744,94,539,10 0,66,101,139,76,46,174
Board-directed election,21,03,18,03,I,02,2,0 1,0,00
"By withdrawal, total",2206,281,1422,264,224,344,560,308,87,329
Before notice of hearing,919,11 7,426,79,149,229,", 344'",189,83,314
"After notice of hearing, before hearing closed",1114,142,864,16th,59,90',191,105,3,II
"After hearing closed,-before decision",45,06,31,06,"9,",1 4,5,03,0,00
After regional director's decision and direction of election,127,1 6,103,1 9,7,11,20,11,1,04
After Board decision and direction of election,1,00,1,00,0,00,0,00,0,00
"By dismissal, total",757,96,321,60,131,20 1,305,168,29,11 0
Before notice of hearing,335,4 3,63,1 2,70,10 7,202,11 1,27,10 2
"After notice of hearing, before hearing closed",150,1 9,65,1 2,34,5 2,51,28,1,04
"After hearing closed, before decision",7,01,4,0 1,1,02,2,"0 l .,",0,00
By regional director's decision,192,2 4,129,24,24,3 7,39,2 2,1,04
By Board decision,73,09,60,11,2,0 3,11,0 6,0,00
