row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
National v. Local......................................,277,276,0,117,159,1,0,,,,
Local v. Local..........................................,1342,1314,0,0,1314,28,0,,,,
AFL-CIO v. AFL-CIO............................,3816,2301,2301,,,170,732,732,,,613
AFL-CIO v. Local....................................,3856,3432,1745,,1687,141,207,76,,131,76
AFL-CIO v. National..............................,414,262,116,146,,22,58,57,1,,72
National v. National................................,367,348,0,348,0,19,0,,,,
2-union elections..................................,10072,7933,4162,611,3160,381,997,865,1,131,761
AFL-CIO v. AFL-CIO v. AFL-CIO v. AFL-CIO..................................................,20,20,20,0,0,0,0,,,,
AFL-CIO v. AFL-CIO v. National..........,93,64,62,2,0,29,0,,,,
National v. Local v. Local........................,11,11,0,0,11,0,0,,,,
3 (or more)-union elections..................,124,95,82,2,11,29,0,0,0,0,0
Total RC elections................................,140734,44326,36943,1898,5485,15427,28899,26570,924,1405,52082
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
Other national unions..............................,10,10,0,10,0,0,0,,,,
Other local unions....................................,348,240,0,0,240,108,0,,,,
AFL-CIO..................................................,1494,426,426,,,187,253,253,,,628
1-union elections..................................,1852,676,426,10,240,295,253,253,0,0,628
AFL-CIO v. AFL-CIO............................,100,41,41,,,0,59,59,,,0
Local v. Local..........................................,42,41,0,0,41,1,0,,,,
2-union elections..................................,142,82,41,0,41,1,59,59,0,0,0
Total RMelections..............................,1994,758,467,10,281,296,312,312,0,0,628
