row_label,col_1,col_2
"Total, all..........................................................................................................................",7,155
Certification amended or unit clarified....................................................................................,2,19
Before hearing................................................................................................................,1,2
By Regional Director's decision..........................................................................,1,2
By Board decision................................................................................................,0,0
After hearing..................................................................................................................,1,17
By Regional Director's decision..........................................................................,1,13
By Board decision................................................................................................,0,4
Dismissed................................................................................................................................,1,35
Before hearing................................................................................................................,1,12
By Regional Director's decision..........................................................................,1,11
By Board decision................................................................................................,0,1
After hearing..................................................................................................................,0,23
By Regional Director's decision..........................................................................,0,19
By Board decision................................................................................................,0,4
Withdrawn................................................................................................................................,4,101
Before hearing................................................................................................................,4,95
After hearing..................................................................................................................,0,6
