row_label,Number of cases,Percentage of— / Total cases closed,Percentage of— / Total cases on docket,Number of workers involved,Percentage of— / Total number of workers involved in cases closed,Percentage of— / Total number of workers involved in cases on docket
"Cases pending June 30, 1937",53,,20.9,7959,,25.4
"Cases received July 1, 1937, to June 30, 1938",201,,79.1,23411,,74.6
Total cases on docket,254,,100.0,31370,,100.0
Cases closed before issuance of complaint:,,,,,,
By settlement,72,40.0,28.3,9679,51.4,30.8
By dismissal,48,26.7,18.9,4678,24.8,14.9
By withdrawal,49,27.2,19.3,2718,14.5,8.7
By transfer to other agencies,4,2.2,1.6,1553,8.3,5.0
Total cases closed before issuance of complaint,173,96.1,68.1,18628,99.0,59.4
Cases closed after issuance of complaint:,,,,,,
By settlement before hearing,2,1.1,.8,138,.8,.4
By settlement after hearing,2,1.1,.8,17,.1,.1
By dismissal before issuance of Board decision,,,,,,
By withdrawal before issuance of Board decision,,,,,,
By intermediate report finding no violation,,,,,,
By compliance with intermediate report,1,.6,.4,1,,
By dismissal by Board decision,,,,,,
By compliance with Board decision,2,1.1,.8,25,.1,.1
Total cases closed after issuance of complaint,7,3.9,2.8,181,1.0,.6
"Total cases closed July 1, 1937 to June 30, 1938",180,100.0,70.9,18809,100.0,60.0
"Cases pending June 30, 1938:",,,,,,
Before hearing,50,,19.7,7917,,25.2
After hearing:,,,,,,
Awaiting intermediate report,7,,2.8,4036,,12.9
Awaiting decision,9,,3.5,278,,1.0
Awaiting compliance with cease and desist orders,8,,3.1,330,,1.0
"Total cases pending June 30, 1938",74,,29.1,12561,,40.0
