row_label,col_1,col_2,col_3,col_4
Cases decided by United States courts of appeals,56,100 0,1773,100 0
Board orders enforced in full,39,70 9,1063,60 0
Board orders enforced with modification,4,72,350,197
Remanded to Board,4,72,42,24
Board orders partially enforced and partially remanded,1,1.8,13,.7
Board orders set aside,8,12 5,305,172
Cases decided by United States Supreme Court,10,100 0,114,100 0
Board orders enforced in full,8,800,78,684
Board orders enforced with modification,0,0,11,105
Board orders set aside,1,100,14,123
Remanded to Board,1,100,2,18
Remanded to court of appeals,0,0,7,67
