Industrial group,All cases,Unfair labor practice cases — CA,Unfair labor practice cases — CB,Unfair labor practice cases — CC,Unfair labor practice cases — CD,Representation cases — RC,Representation cases — RM,Representation cases — RD
Total,13336,4362,1382,345,82,6160,545,460
Manufacturing,8287,2755,513,111,17,4243,313,335
Ordnance and accessories,45,16,2,0,0,18,1,8
Food and kindred products,1034,303,68,23,3,550,41,46
Textile-mill products,280,124,9,14,2,117,13,10
Apparel and other finished products made from fabrics and similar materials,357,180,35,5,0,103,24,10
Lumber and wood products (except furniture),731,440,11,10,0,195,40,35
Furniture and fixtures,319,99,18,10,1,174,9,8
Paper and allied products,324,63,9,4,0,236,5,7
"Printing, publishing, and allied industries",279,72,37,15,2,187,8,8
Chemicals and allied products,531,121,31,4,2,316,22,35
Products of petroleum and coal,146,33,12,2,0,87,6,6
Rubber products,92,31,7,2,0,48,3,3
Leather and leather products,195,54,9,9,0,112,13,1
"Stone, clay, and glass products",261,84,27,6,2,129,7,6
Primary metal industries,488,133,36,3,0,270,20,26
"Fabricated metal products (except ordnance, machinery, and transportation equipment)",802,242,44,15,1,454,22,24
Machinery (except electrical),794,241,48,11,4,433,21,36
"Electrical machinery, equipment, and supplies",534,192,39,3,0,266,13,21
Aircraft and parts,210,61,9,0,1,120,7,12
"Agriculture, forestry, and fisheries",9,4,0,0,2,2,0,1
Mining,184,73,28,3,0,73,3,4
Construction,1082,413,363,116,44,138,13,0
Wholesale trade,922,228,55,28,1,481,88,41
Retail trade,872,242,53,39,22,458,48,29
"Finance, insurance, and real estate",46,15,0,0,0,28,2,1
"Transportation, communication, and other public utilities",1645,552,358,56,16,563,68,32
Services,289,80,26,7,0,149,10,17
