row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Decisions on objections and/or challenges, total",442,437,400,,29,
By Regional Directors,47,47,45,1,1,
By Board,395,390,355,7,28,4
In stipulated elections,341,338,304,7,27,4
No exception to Regional Directors' reports,189,188,169,5,14,4
Exceptions to Regional Directors' reports,152,150,135,2,13,0
In directed elections (after transfer by Regional Director),49,47,46,0,1,0
Review of Regional Directors' supplemental decisions:,,,,,,
Request for review received,39,39,37,0,2,0
Withdrawn before request ruled upon,1,1,1,,0,
"Board action on request ruled upon, total .....",45,44,43,0,1,0
Granted,7,7,6,,,
_Denied,38,37,37,,,
Remanded,0,0,0,,,
"Withdrawn after request granted, before Board review",0,0,0,0,0,0
"Board decision after review, total Regional Mentors' decisions:",5,5,5,0,0,0
Affirmed,5,5,,o,o,
Modified,,,,,• o,
Reversed,,,,,,
