row_label,Identification of filing party / Total,Identification of filing party / AFL-CIO Unions,Identification of filing party / Other National Unions,Identification of filing party / Other local Unions,Identification of filing party / Individuals,Identification of filing party / Employers
All Cases,,,,,,
"Pending October 1, 2008",11551,3935,2997,464,3503,652
Received fiscal 2009,25855,6762,6559,1026,10529,979
On docket fiscal 2009,37406,10697,9556,1490,14032,1631
Closed fiscal 2009,25367,6861,6432,924,10171,979
"Pending September 30, 2009",12039,3836,3124,566,3861,652
Unfair labor practice cases,,,,,,
"Pending October 1, 2008",10691,3651,2722,430,3293,595
Received fiscal 2009,22943,5971,5448,784,9857,883
On docket fiscal 2009,33634,9622,8170,1214,13150,1478
Closed fiscal 2009,22457,6020,5323,756,9480,878
"Pending September 30, 2009",11177,3602,2847,458,3670,600
Representation cases,,,,,,
"Pending October 1, 2008",767,265,263,31,184,24
Received fiscal 2009,2696,748,1073,228,572,75
On docket fiscal 2009,3463,1013,1336,259,756,99
Closed fiscal 2009,2693,800,1077,155,594,67
"Pending September 30, 2009",770,213,259,104,162,32
Union-shop deauthorization cases,,,,,,
"Pending October 1, 2008",26,,,,26,
Received fiscal 2009,97,,,,97,
On docket fiscal 2009,123,,,,123,
Closed fiscal 2009,96,,,,96,
"Pending September 30, 2009",27,,,,27,
Amendment of certification cases,,,,,,
"Pending October 1, 2008",4,1,3,0,0,0
Received fiscal 2009,7,2,4,0,0,1
On docket fiscal 2009,11,3,7,0,0,1
Closed fiscal 2009,5,3,1,0,0,1
"Pending September 30, 2009",6,0,6,0,0,0
Unit clarification cases,,,,,,
"Pending October 1, 2008",63,18,9,3,0,33
Received fiscal 2009,112,41,34,14,3,20
On docket fiscal 2009,175,59,43,17,3,53
Closed fiscal 2009,116,38,31,13,1,33
"Pending September 30, 2009",59,21,12,4,2,20
