row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
B. By number of employees affected:,,,,,,,,,,,,,
"Employees offered reinstate- ment, total............................",1689,1689,1179,83,48,181,198,,,,,,
Accepted............................,1119,1119,859,49,30,69,112,,,,,,
Declined..............................,570,570,320,34,18,112,86,,,,,,
Employees placed on prefe- rential hiring list..................,289,289,209,0,10,49,21,,,,,,
Hiring hall rights restored........,84,,,,,,,84,84,0,0,0,0
Objections to employment withdrawn............................,11,,,,,,,11,9,0,1,1,0
Employees receiving backpay:,,,,,,,,,,,,,
From either employer or union..............................,15925,15722,10361,174,1449,1179,2559,203,172,0,6,5,20
From both employer and union..............................,10,9,9,0,0,0,0,1,1,0,0,0,0
"Employees reimbursed for fees, dues, and fines:",,,,,,,,,,,,,
From either employer or union..............................,2011,907,492,0,0,355,60,1104,1021,0,63,0,20
