row_label,Sub-allegation,Number of cases showing specific allegations,Percent of total cases
A. Charges Filed against Employers Under Sec. 8(a) — Total cases,Total cases (8(a)),15467,100.0
8(a)(1) — General restraint of employees,8(a)(1),1363,8.8
8(a)(2) — Employer-dominated union,8(a)(2),278,1.8
8(a)(3) — Discrimination (discharges),8(a)(3),8285,53.6
8(a)(4) — Filed-charge retaliation,8(a)(4),61,0.4
8(a)(5) — Refusal to bargain,8(a)(5),3297,21.3
8(a) — 8(a)(1) [composite],8(a)(1) [includes derivative],15467,100.0
8(a) — 8(a)(2),8(a)(2),670,4.3
8(a) — 8(a)(3),8(a)(3),10368,67.0
8(a) — 8(a)(4),8(a)(4),378,2.4
8(a) — 8(a)(5),8(a)(5),5018,32.4
B. Charges Filed Against Unions Under Sec. 8(b) — Total cases,Total cases (8(b)),8250,100.0
8(b)(1) — Restraint or coercion of employees,8(b)(1),2847,34.5
8(b)(4) — Secondary boycott + jurisdictional,8(b)(4),2427,29.4
8(b)(7) — Recognitional picketing,8(b)(7),472,5.7
8(b) — 8(b)(1),8(b)(1),4755,57.6
8(b) — 8(b)(2),8(b)(2),1921,23.3
8(b) — 8(b)(3),8(b)(3),542,7.8
B1. Analysis of 8(b)(4) — Total cases,Total cases 8(b)(4),2427,100.0
8(b)(4)(B) — Secondary boycott,8(b)(4)(B),1576,65.0
8(b)(4)(D) — Jurisdictional,8(b)(4)(D),697,28.7
B2. Analysis of 8(b)(7) — Total cases,Total cases 8(b)(7),472,100.0
8(b)(7)(A),8(b)(7)(A),136,28.8
8(b)(7)(B),8(b)(7)(B),26,5.5
8(b)(7)(C),8(b)(7)(C),304,64.4
C. Charges Filed Under Sec. 8(e) — Total cases,Total cases (8(e)),53,100.0
Against unions alone,Against unions alone,39,73.6
Against employers alone,Against employers alone,0,0.0
Against unions and employers,Against unions and employers,14,26.4
