row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12
Total RC and RMelections........,237413,2968,100.0,,1163,100.0,277,100.0,94,100.0,1434,100.0
Under 10............................................................,4471,594,20.0,20.0,317,27.3,59,21.3,11,11.7,207,14.4
10 to 19..............................................................,9127,599,20.2,40.2,236,20.3,66,23.8,18,19.1,279,19.5
20 to 29..............................................................,8477,325,11.0,51.1,128,11.0,26,9.4,11,11.7,160,11.2
30 to 39..............................................................,9393,252,8.5,59.6,88,7.6,20,7.2,7,7.4,137,9.6
40 to 49..............................................................,7709,170,5.7,65.4,55,4.7,18,6.5,4,4.3,93,6.5
50 to 59..............................................................,7990,145,4.9,70.2,59,5.1,13,4.7,7,7.4,66,4.6
60 to 69..............................................................,7951,123,4.1,74.4,52,4.5,8,2.9,8,8.5,55,3.8
70 to 79..............................................................,7153,83,2.8,77.2,22,1.9,6,2.2,7,7.4,48,3.3
80 to 89..............................................................,5552,64,2.2,79.3,19,1.6,6,2.2,3,3.2,36,2.5
90 to 99..............................................................,5838,60,2.0,81.4,23,2.0,5,1.8,2,2.1,30,2.1
100 to 109..........................................................,9236,67,2.3,83.6,20,1.7,7,2.5,2,2.1,38,2.6
110 to 119..........................................................,4845,41,1.4,85.0,17,1.5,4,1.4,0,0.0,20,1.4
120 to 129..........................................................,6839,55,1.9,86.9,18,1.5,2,0.7,2,2.1,33,2.3
130 to 139..........................................................,3735,30,1.0,87.9,3,0.3,3,1.1,1,1.1,23,1.6
140 to 149..........................................................,2895,21,0.7,88.6,5,0.4,2,0.7,2,2.1,12,0.8
150 to 159..........................................................,3685,23,0.8,89.4,9,0.8,0,0.0,0,0.0,14,1.0
160 to 169..........................................................,3819,23,0.8,90.1,9,0.8,0,0.0,1,1.1,13,0.9
170 to 179..........................................................,3566,20,0.7,90.8,4,0.3,1,0.4,0,0.0,15,1.0
180 to 189..........................................................,4224,22,0.7,91.5,5,0.4,3,1.1,1,1.1,13,0.9
190 to 199..........................................................,1697,9,0.3,91.8,1,0.1,2,0.7,0,0.0,6,0.4
200 to 299..........................................................,20599,87,2.9,94.8,26,2.2,9,3.2,2,2.1,50,3.5
300 to 399..........................................................,18345,54,1.8,96.6,17,1.5,6,2.2,1,1.1,30,2.1
400 to 499..........................................................,14244,32,1.1,97.7,8,0.7,6,2.2,0,0.0,18,1.3
500 to 599..........................................................,11625,21,0.7,98.4,8,0.7,2,0.7,1,1.1,10,0.7
600 to 799..........................................................,11053,15,0.5,98.9,3,0.3,1,0.4,2,2.1,9,0.6
800 to 999..........................................................,14295,16,0.5,99.4,6,0.5,1,0.4,1,1.1,8,0.6
"1,000 to",,13,,99.9,,0.2,,0.4,,0.0,10,0.1
"1,999.................................................... 2,000 to 2,999....................................................","17,238 2,744",1,0.4 0.0,99.9,2 0,0.0,1 0,0.0,0 0,0.0,1,0.7
"3,000 to 9,999....................................................",9068,3,0.1,100.0,3,,,0.0,0,0.0,0,0.0
"Over 9,999..........................................................",0,0,0.0,100.0,0,0.3 0.0,0 0,0.0,0,0.0,0,0.0
