row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11,col_12,col_13
AFL-CIO............................................,469,65.9,309,309,,,160,19536,10308,10308,,,9228
Other local unions...............................,66,77.3,51,,,51,15,4937,3561,,,3561,1376
1-union elections...........................,1198,66.3,794,309,434,51,404,67211,43737,10308,29868,3561,23474
National v. Local................................,20,95.0,19,,8,11,1,2379,2307,,747,1560,72
National v. National............................,30,93.3,28,,28,,2,3537,3283,,3283,,254
Local v. Local.....................................,7,85.7,6,,,6,1,497,383,,,383,114
AFL-CIO v. AFL-CIO......................,15,80.0,12,12,,,3,489,358,358,,,131
AFL-CIO v. Local..............................,19,73.7,14,11,,3,5,1551,797,711,,86,754
AFL-CIO v. National.........................,33,93.9,31,19,12,,2,2519,2402,1543,859,,117
2-union elections...........................,124,88.7,110,42,48,20,14,10972,9530,2612,4889,2029,1442
National v. National v. Local.............,1,100.0,1,,0,1,0,131,131,,0,131,0
National v. National v. National v. National..........................................,2,100.0,2,,2,,0,6,6,,6,,0
National v. Local v. Local..................,3,100.0,3,,0,3,0,225,225,,0,225,0
Local v. Local v. Local.......................,1,100.0,1,,,1,0,155,155,,,155,0
Local v. Local v. Local v. Local.........,1,100.0,1,,,1,0,114,114,,,114,0
AFL-CIO v. AFL-CIO v. Local v. Local...............................................,2,100.0,2,1,,1,0,10,10,5,,5,0
AFL-CIO v. AFL-CIO v. National..............................................,1,100.0,1,0,1,,0,196,196,0,196,,0
3 (or more)-union elections...........,11,100.0,11,1,3,7,0,837,837,5,202,630,0
Total RC elections.........................,1333,68.6,915,352,485,78,418,79020,54104,12925,34959,6220,24916
C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases,C. Elections in RMcases
Other local unions,1,0.0,0,,,0,1,7,0,,,0,7
AFL-CIO............................................,5,40.0,2,2,,,3,265,156,156,,,109
