row_label,col_1,col_2,col_3
"Charles J. Stein, individually and trading as Capitol Bed-",,,
ding Co,"Apr. 1,1938","Apr. 4,1938",(3)
C. H. Bacon Co,"Jan. 10,1938","Jan. 21,1938",
Chesapeake Shoe Manufacturing Co,"Mar. 10, 1938","Mar. 15,1938",(3)
"Chic Lingerie Co., Inc","Mar. 21,1938","Apr. 11,1938",(I)
,"Dec. 13,1937","Dec. 16,1937",
Chicago Apparatus Co,,"Mar. 16, 1938",
Christian Board of Publication,"Mar. 10,1938",,( ( 21
"Centre Brass and Enterprise Novelty, Inc","Jan. 7,1938","Jan. 13,1938",( 3
Cincinnati Milling Machine Co,"Dec. 9,1937","Dec. 22,1937",(3)
Citizens Manufacturing Co. (T. W. Hepler),"Oct. 14, 1937","Oct. 19,1937","May 19,1938"
,"Mar. 1,1938","Mar. 16,1938",
Clark Equipment Co,,"Apr. 14,1938",
Clark Shoe Co Cleveland Cliffs Iron Co,"Apr. 12,1938 Jan. 24,1938","Feb. 7,1938",(25 1
Clover Fork Coal Co,"Aug. 2,1937","Aug. 12,1937","Nov. 27,1937"
"Clovis News-Journal, The (R. C. Hoiles et al.)","May 24,1938","May 25,1938",
Do,do,do,
C. Nelson Manufacturing Co,"June 9,1938","June 15,1938",
Cohn Hail Marx and Subsidiaries,"Sept. 13,1937","Sept. 28,1937",
Colorado Milling &Elevator Co,"Feb 24,1938","Feb. 26,1938 Nov. 30,1937",
"Columbian Steamship Co., Inc","Nov. 29, 1937 Oct. 4,1937","Oct. 5, 1937",(3) (2)
"Columbia Specialty Co., Inc",,"Mar. 26,1938",
Commonwealth Telephone Co,"Mar. 24,1938 Feb. 15,1937","Oct. 15,1937",(2)
Condenser Corporation of America Connor Lumber &Land Co,"June 9,1938",,(2)
Consumers Power Co,"May 12,1938","June 24,1398",(2)
"Consolidated Cigar Corporation, Inc","June 23,1938 Nov. 4,1937","Nov. 5,1937",
Consolidated Dressed Beef Co,"June 3,1937","July 6,1937","Nov. 10, 1937"
"Consolidated Edison Co., Inc Continental Oil Co","June 13,1938","June 21,1938",
Do,"Mar. 3,1938","Mar. 17, 1938",(3
Cooper-Wells &Co,"May 12,1938","May 26,1938",
Do Corinth Hosiery Mills,"do Mar. 28,1938","do Apr. 2, 1938",
Corning Glass Works,"Feb. 3,1938","Feb. 17,1938",
Cowell Portland Cement Co,"Aug. 30, 1937","Oct. 11,1937",
Crane Creek Lumber Co,"Oct. 25,1937 Nov. 29,1937","Oct. 27,1937",
Crawford Manufacturing Co,,"Nov. 29,1937",
"Cresent Bed Co., Inc","Dec. 18, 1937","Dec. 18,1937",
,"Nov. 29,1937","Nov. 29,1937",22 )
Crowe Coal Co Cudahy Packing Co,"Aug. 6,1937","Aug. 11, 1937","1 8, Feb."
"Cudahy Packing Co., Inc","Feb. 3,1938","Feb. 17, 1938",1938
"Cullen-Thompson Motor Co., Inc","Jan. 25,1938","Jan. 26,1938",(222
Cullom &Ghertner Co,"June 20,1938","June 23, 1938",Apr.
Cummins Engine Co,"Mar. 17,1938","Mar. 17,1938","16,1938"
Cupples Co. (Match Division),"Nov. 29,1937","Dec. 14,1937",
Charles Cushman Co,"Feb. 21,1938","Feb. 21,1938",((2
,"Nov. 1,1937","Nov. 3,1938",
"Dainty Maid Slippers, Inc Dallas","June 30,1937",,
Cartage Co Dartmouth Woolen Mills,(6),,"Feb. 28,1938"
"David and Hyman Zoslow, trading as Golden Star Shoe",,,
"Renewing Co., etc","Nov. 4,1937","Nov. 5,1937","Jan. 11, 1938"
David &Hyman Zoslow,"Jan. 13, 1938","Jan. 14,1938 Nov. 19,1937","(3) Apr. 21,1938"
"David E. Kennedy, Inc","Nov. 18,1937 Dec. 2,1937","Dec. 3,1937",(2)
"David Strain Manufacturing Co., Inc D. &B. Pump and Supply Co","Mar. 21,1938","Mar. 23,1938",(1)
"Decatur Newspaper, Inc","Apr. 18,1938","Apr. 22,1938",
Delco-Remy Corporation (General Motors Corporation),"Feb. 21, 1938","Mar. 17,1938",
Denver Automobile Dealers Association et al,"Dec. 2,1937","Jan. 25,1938",
Denver Automobile Dealers Association,"Dec. 27,1937",do,
Do,"Dec. 2,1937",do,
Derby's Sportswear Co,"Sept. 28,1937","Oct. 5, 1937",
,"May 26,1938","June 21, 1938",
Detroit Gasket dr Manufacturing Co_,,,
"Dixie Manufacturing Co., Inc","Apr. 4,1938","Apr. 8,1938",
Do,do,do,
Domestic Supply Coal Co,"Apr. 11, 1938","May 4, 1938",((23
Douglas Aircraft Co. (Northrup Division),"Feb. 9, 1938","Feb. 25, 1938","20,"
,,,Apr.
"Douglas Aircraft Co., Inc","June 7, 1937","Aug. 20,1937",1938
,do,do,Do.
Do Dow Chemical Co,"Mar. 24,1938",,
,,"Apr. 12, 1938",
