row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,3752,152,4.1,83,2.2,25,0.7,177,47,108,29
By type of case ',,,,,,,,,,,
In RC cases ...... ........ ... ........... .. .,3182,127,40,68,2.1,22,07,149,4.7,90,2.8
In RMcases,62,1,16,4,6.5,0,,1,1.6,4,6.5
In RD cases,508,24,47,11,22,3,06,27,53,14,2.8
By type of election:,,,,,,,,,,,
Consent elections,20,0,,0,,0,,0,,0,
Stipulated elections,3108,119,3.8,62,2.0,17,0.6,136,4.4,79,2.5
. Expedited elections ..... ............... ...,2,0,,1,50.0,0,,0',,1,50.0
Regional Director-directed elections,613,33,54,20,3.3,8,1 3,41,6.7,28,4.6
Board-directed elections,9,0,,0,,0,,0 1,,0,
