row_label,col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10,col_11
All representation elections,4722,440,93,186,39,113 ',24,553,11 7,299,63
By type of case,,,,,,,,,,,
In RC cases,3639,370,10 2,150,4 1,89,2 5,459,12 6,239,6 6
In RM cases,204,14,69,17,83,10,49,24,118,27,132
In RD cases,879,56,6 4,19,2 2,14,1 6,70,8 0,33,3 8
By type of election,,,,,,,,,,,
Consent elections,116,8,69,16,138,3,26,11,95,19,164
Stipulated elections,3785,327,8 6,143,3 8,85,2 2,412,10 9,228,60
Expedited elections,3,0,00,0,00,0,00,0,00,0,00
Regional Director-directed elections,784,100,128,27,34,23,29,123,157,50,64
Board-directed elections,34,5,14 7,0,00,2,5 9,7,20 6,2,5 9
