row_label,col_1,col_2,col_3,col_4,col_5,col_6
"Hearings completed, total......................................................",851,787,681,24,82,6
Initial hearing......................................................................,665,616,530,21,65,3
Hearing on objections and/or challenges............................,186,171,151,3,17,3
"Decisions issued, total............................................................",644,615,524,20,71,22
By Regional Director..........................................................,600,578,494,19,65,21
Elections directed..........................................................,525,482,420,14,48,20
Dismissals on record....................................................,75,96,74,5,17,1
By Board............................................................................,44,37,30,1,6,1
Transferred by Regional Directors for initial decision.,1,1,1,0,0,0
Elections directed...................................................,1,1,1,0,0,0
Dismissals on record..............................................,0,0,0,0,0,0
Review of Regional Directors' decisions:,,,,,,
Requests for review received..................................,332,295,236,14,45,3
Withdrawn before request ruled upon....................,29,29,25,0,4,0
"Board action on request ruled upon, total..............",247,214,183,8,23,2
Granted..............................................................,59,51,45,2,4,0
Denied..............................................................,157,146,128,4,14,1
Remanded........................................................,31,17,10,2,5,1
"Withdrawn after request granted, before Board review......................................................................",5,5,4,1,0,0
"Board decision after review, total..........................",43,36,29,1,6,1
Regional Directors' decisions:,,,,,,
Affirmed......................................................,14,14,13,0,1,0
Modified......................................................,2,1,1,0,0,0
Reversed......................................................,27,21,15,1,5,1
Outcome:,,,,,,
Election directed........................................,36,29,22,1,6,1
Dismissals on record...................................,7,7,7,0,0,0
"Decisions on Objections and/or Challenges, total..................",304,275,244,5,28,6
By Regional Directors........................................................,284,259,230,5,24,6
By Board............................................................................,20,18,14,0,4,0
In stipulated elections..................................................,268,260,225,4,31,5
No Exceptions to Regional Directors' reports......,234,228,195,3,30,3
Exceptions to Regional Directors' reports..............,139,133,109,3,21,3
In directed elections ( after transfer by Regional Director)........................................................................,95,95,86,0,9,0
Review of Regional Directors' supplemental decisions:,26,26,22,0,4,1
Request for review received.................................. Withdrawn before request ruled upon....................,1,1,1,0,0,0
