Category,Objections filed,Objections withdrawn,Objections ruled upon,Overruled Number,Overruled Percent of total ruled upon,Sustained Number,Sustained Percent of total ruled upon
All representation elections,1313,316,997,662,66.4,335,33.6
By type of case,,,,,,,
RC cases,1242,296,946,625,66.1,321,33.9
RM cases,55,18,37,26,70.3,11,29.7
RD cases,16,2,14,11,78.6,3,21.4
By type of election,,,,,,,
Consent elections,248,81,167,109,65.3,58,34.7
Stipulated elections,615,158,457,299,65.4,158,34.6
Expedited elections,3,1,2,2,100.0,0,
Regional director-directed elections,415,72,343,233,67.9,110,32.1
Board-directed elections,32,4,28,19,67.9,9,32.1
